entry_id,employee_id,date,clock_in,clock_out,total_hours,job_id,billable,approved
TS-00097,EMP-048,2026-08-14,08:00,16:00,8,JOB-0098,1,1
TS-00098,EMP-049,2026-09-15,09:00,18:00,9,JOB-0099,1,0
TS-00099,EMP-050,2026-01-16,010:00,17:00,7,JOB-0100,1,1
TS-00100,EMP-001,2026-02-17,07:00,15:00,8,JOB-0001,0,1
TS-00101,EMP-002,2026-03-18,08:00,17:00,9,JOB-0002,1,1
TS-00102,EMP-003,2026-04-19,09:00,16:00,7,JOB-0003,1,1
TS-00103,EMP-004,2026-05-20,010:00,18:00,8,JOB-0004,1,1
TS-00104,EMP-005,2026-06-21,07:00,16:00,9,JOB-0005,1,1
TS-00105,EMP-006,2026-07-22,08:00,15:00,7,JOB-0006,0,0
TS-00106,EMP-007,2026-08-23,09:00,17:00,8,JOB-0007,1,1
TS-00107,EMP-008,2026-09-24,010:00,19:00,9,JOB-0008,1,1
TS-00108,EMP-009,2026-01-25,07:00,14:00,7,JOB-0009,1,1
TS-00109,EMP-010,2026-02-26,08:00,16:00,8,JOB-0010,1,1
TS-00110,EMP-011,2026-03-27,09:00,18:00,9,JOB-0011,0,1
TS-00111,EMP-012,2026-04-28,010:00,17:00,7,JOB-0012,1,1
TS-00112,EMP-013,2026-05-01,07:00,15:00,8,JOB-0013,1,0
TS-00113,EMP-014,2026-06-02,08:00,17:00,9,JOB-0014,1,1
TS-00114,EMP-015,2026-07-03,09:00,16:00,7,JOB-0015,1,1
TS-00115,EMP-016,2026-08-04,010:00,18:00,8,JOB-0016,0,1
TS-00116,EMP-017,2026-09-05,07:00,16:00,9,JOB-0017,1,1
TS-00117,EMP-018,2026-01-06,08:00,15:00,7,JOB-0018,1,1
TS-00118,EMP-019,2026-02-07,09:00,17:00,8,JOB-0019,1,1
TS-00119,EMP-020,2026-03-08,010:00,19:00,9,JOB-0020,1,0
TS-00120,EMP-021,2026-04-09,07:00,14:00,7,JOB-0021,0,1
TS-00121,EMP-022,2026-05-10,08:00,16:00,8,JOB-0022,1,1
TS-00122,EMP-023,2026-06-11,09:00,18:00,9,JOB-0023,1,1
TS-00123,EMP-024,2026-07-12,010:00,17:00,7,JOB-0024,1,1
TS-00124,EMP-025,2026-08-13,07:00,15:00,8,JOB-0025,1,1
TS-00125,EMP-026,2026-09-14,08:00,17:00,9,JOB-0026,0,1
TS-00126,EMP-027,2026-01-15,09:00,16:00,7,JOB-0027,1,0
TS-00127,EMP-028,2026-02-16,010:00,18:00,8,JOB-0028,1,1
TS-00128,EMP-029,2026-03-17,07:00,16:00,9,JOB-0029,1,1
TS-00129,EMP-030,2026-04-18,08:00,15:00,7,JOB-0030,1,1
TS-00130,EMP-031,2026-05-19,09:00,17:00,8,JOB-0031,0,1
TS-00131,EMP-032,2026-06-20,010:00,19:00,9,JOB-0032,1,1
TS-00132,EMP-033,2026-07-21,07:00,14:00,7,JOB-0033,1,1
TS-00133,EMP-034,2026-08-22,08:00,16:00,8,JOB-0034,1,0
TS-00134,EMP-035,2026-09-23,09:00,18:00,9,JOB-0035,1,1
TS-00135,EMP-036,2026-01-24,010:00,17:00,7,JOB-0036,0,1
TS-00136,EMP-037,2026-02-25,07:00,15:00,8,JOB-0037,1,1
TS-00137,EMP-038,2026-03-26,08:00,17:00,9,JOB-0038,1,1
TS-00138,EMP-039,2026-04-27,09:00,16:00,7,JOB-0039,1,1
TS-00139,EMP-040,2026-05-28,010:00,18:00,8,JOB-0040,1,1
TS-00140,EMP-041,2026-06-01,07:00,16:00,9,JOB-0041,0,0
TS-00141,EMP-042,2026-07-02,08:00,15:00,7,JOB-0042,1,1
TS-00142,EMP-043,2026-08-03,09:00,17:00,8,JOB-0043,1,1
TS-00143,EMP-044,2026-09-04,010:00,19:00,9,JOB-0044,1,1
TS-00144,EMP-045,2026-01-05,07:00,14:00,7,JOB-0045,1,1
TS-00145,EMP-046,2026-02-06,08:00,16:00,8,JOB-0046,0,1
TS-00146,EMP-047,2026-03-07,09:00,18:00,9,JOB-0047,1,1
TS-00147,EMP-048,2026-04-08,010:00,17:00,7,JOB-0048,1,0
TS-00148,EMP-049,2026-05-09,07:00,15:00,8,JOB-0049,1,1
TS-00149,EMP-050,2026-06-10,08:00,17:00,9,JOB-0050,1,1
TS-00150,EMP-001,2026-07-11,09:00,16:00,7,JOB-0051,0,1
TS-00151,EMP-002,2026-08-12,010:00,18:00,8,JOB-0052,1,1
TS-00152,EMP-003,2026-09-13,07:00,16:00,9,JOB-0053,1,1
TS-00153,EMP-004,2026-01-14,08:00,15:00,7,JOB-0054,1,1
TS-00154,EMP-005,2026-02-15,09:00,17:00,8,JOB-0055,1,0
TS-00155,EMP-006,2026-03-16,010:00,19:00,9,JOB-0056,0,1
TS-00156,EMP-007,2026-04-17,07:00,14:00,7,JOB-0057,1,1
TS-00157,EMP-008,2026-05-18,08:00,16:00,8,JOB-0058,1,1
TS-00158,EMP-009,2026-06-19,09:00,18:00,9,JOB-0059,1,1
TS-00159,EMP-010,2026-07-20,010:00,17:00,7,JOB-0060,1,1
TS-00160,EMP-011,2026-08-21,07:00,15:00,8,JOB-0061,0,1
TS-00161,EMP-012,2026-09-22,08:00,17:00,9,JOB-0062,1,0
TS-00162,EMP-013,2026-01-23,09:00,16:00,7,JOB-0063,1,1
TS-00163,EMP-014,2026-02-24,010:00,18:00,8,JOB-0064,1,1
TS-00164,EMP-015,2026-03-25,07:00,16:00,9,JOB-0065,1,1
TS-00165,EMP-016,2026-04-26,08:00,15:00,7,JOB-0066,0,1
TS-00166,EMP-017,2026-05-27,09:00,17:00,8,JOB-0067,1,1
TS-00167,EMP-018,2026-06-28,010:00,19:00,9,JOB-0068,1,1
TS-00168,EMP-019,2026-07-01,07:00,14:00,7,JOB-0069,1,0
TS-00169,EMP-020,2026-08-02,08:00,16:00,8,JOB-0070,1,1
TS-00170,EMP-021,2026-09-03,09:00,18:00,9,JOB-0071,0,1
TS-00171,EMP-022,2026-01-04,010:00,17:00,7,JOB-0072,1,1
TS-00172,EMP-023,2026-02-05,07:00,15:00,8,JOB-0073,1,1
TS-00173,EMP-024,2026-03-06,08:00,17:00,9,JOB-0074,1,1
TS-00174,EMP-025,2026-04-07,09:00,16:00,7,JOB-0075,1,1
TS-00175,EMP-026,2026-05-08,010:00,18:00,8,JOB-0076,0,0
TS-00176,EMP-027,2026-06-09,07:00,16:00,9,JOB-0077,1,1
TS-00177,EMP-028,2026-07-10,08:00,15:00,7,JOB-0078,1,1
TS-00178,EMP-029,2026-08-11,09:00,17:00,8,JOB-0079,1,1
TS-00179,EMP-030,2026-09-12,010:00,19:00,9,JOB-0080,1,1
TS-00180,EMP-031,2026-01-13,07:00,14:00,7,JOB-0081,0,1
TS-00181,EMP-032,2026-02-14,08:00,16:00,8,JOB-0082,1,1
TS-00182,EMP-033,2026-03-15,09:00,18:00,9,JOB-0083,1,0
TS-00183,EMP-034,2026-04-16,010:00,17:00,7,JOB-0084,1,1
TS-00184,EMP-035,2026-05-17,07:00,15:00,8,JOB-0085,1,1
TS-00185,EMP-036,2026-06-18,08:00,17:00,9,JOB-0086,0,1
TS-00186,EMP-037,2026-07-19,09:00,16:00,7,JOB-0087,1,1
TS-00187,EMP-038,2026-08-20,010:00,18:00,8,JOB-0088,1,1
TS-00188,EMP-039,2026-09-21,07:00,16:00,9,JOB-0089,1,1
TS-00189,EMP-040,2026-01-22,08:00,15:00,7,JOB-0090,1,0
TS-00190,EMP-041,2026-02-23,09:00,17:00,8,JOB-0091,0,1
TS-00191,EMP-042,2026-03-24,010:00,19:00,9,JOB-0092,1,1
TS-00192,EMP-043,2026-04-25,07:00,14:00,7,JOB-0093,1,1
TS-00193,EMP-044,2026-05-26,08:00,16:00,8,JOB-0094,1,1
TS-00194,EMP-045,2026-06-27,09:00,18:00,9,JOB-0095,1,1
TS-00195,EMP-046,2026-07-28,010:00,17:00,7,JOB-0096,0,1
TS-00196,EMP-047,2026-08-01,07:00,15:00,8,JOB-0097,1,0
TS-00197,EMP-048,2026-09-02,08:00,17:00,9,JOB-0098,1,1
TS-00198,EMP-049,2026-01-03,09:00,16:00,7,JOB-0099,1,1
TS-00199,EMP-050,2026-02-04,010:00,18:00,8,JOB-0100,1,1
TS-00200,EMP-001,2026-03-05,07:00,16:00,9,JOB-0001,0,1
TS-00201,EMP-002,2026-04-06,08:00,15:00,7,JOB-0002,1,1
TS-00202,EMP-003,2026-05-07,09:00,17:00,8,JOB-0003,1,1
TS-00203,EMP-004,2026-06-08,010:00,19:00,9,JOB-0004,1,0
TS-00204,EMP-005,2026-07-09,07:00,14:00,7,JOB-0005,1,1
TS-00205,EMP-006,2026-08-10,08:00,16:00,8,JOB-0006,0,1
TS-00206,EMP-007,2026-09-11,09:00,18:00,9,JOB-0007,1,1
TS-00207,EMP-008,2026-01-12,010:00,17:00,7,JOB-0008,1,1
TS-00208,EMP-009,2026-02-13,07:00,15:00,8,JOB-0009,1,1
TS-00209,EMP-010,2026-03-14,08:00,17:00,9,JOB-0010,1,1
TS-00210,EMP-011,2026-04-15,09:00,16:00,7,JOB-0011,0,0
TS-00211,EMP-012,2026-05-16,010:00,18:00,8,JOB-0012,1,1
TS-00212,EMP-013,2026-06-17,07:00,16:00,9,JOB-0013,1,1
TS-00213,EMP-014,2026-07-18,08:00,15:00,7,JOB-0014,1,1
TS-00214,EMP-015,2026-08-19,09:00,17:00,8,JOB-0015,1,1
TS-00215,EMP-016,2026-09-20,010:00,19:00,9,JOB-0016,0,1
TS-00216,EMP-017,2026-01-21,07:00,14:00,7,JOB-0017,1,1
TS-00217,EMP-018,2026-02-22,08:00,16:00,8,JOB-0018,1,0
TS-00218,EMP-019,2026-03-23,09:00,18:00,9,JOB-0019,1,1
TS-00219,EMP-020,2026-04-24,010:00,17:00,7,JOB-0020,1,1
TS-00220,EMP-021,2026-05-25,07:00,15:00,8,JOB-0021,0,1
TS-00221,EMP-022,2026-06-26,08:00,17:00,9,JOB-0022,1,1
TS-00222,EMP-023,2026-07-27,09:00,16:00,7,JOB-0023,1,1
TS-00223,EMP-024,2026-08-28,010:00,18:00,8,JOB-0024,1,1
TS-00224,EMP-025,2026-09-01,07:00,16:00,9,JOB-0025,1,0
TS-00225,EMP-026,2026-01-02,08:00,15:00,7,JOB-0026,0,1
TS-00226,EMP-027,2026-02-03,09:00,17:00,8,JOB-0027,1,1
TS-00227,EMP-028,2026-03-04,010:00,19:00,9,JOB-0028,1,1
TS-00228,EMP-029,2026-04-05,07:00,14:00,7,JOB-0029,1,1
TS-00229,EMP-030,2026-05-06,08:00,16:00,8,JOB-0030,1,1
TS-00230,EMP-031,2026-06-07,09:00,18:00,9,JOB-0031,0,1
TS-00231,EMP-032,2026-07-08,010:00,17:00,7,JOB-0032,1,0
TS-00232,EMP-033,2026-08-09,07:00,15:00,8,JOB-0033,1,1
TS-00233,EMP-034,2026-09-10,08:00,17:00,9,JOB-0034,1,1
TS-00234,EMP-035,2026-01-11,09:00,16:00,7,JOB-0035,1,1
TS-00235,EMP-036,2026-02-12,010:00,18:00,8,JOB-0036,0,1
TS-00236,EMP-037,2026-03-13,07:00,16:00,9,JOB-0037,1,1
TS-00237,EMP-038,2026-04-14,08:00,15:00,7,JOB-0038,1,1
TS-00238,EMP-039,2026-05-15,09:00,17:00,8,JOB-0039,1,0
TS-00239,EMP-040,2026-06-16,010:00,19:00,9,JOB-0040,1,1
TS-00240,EMP-041,2026-07-17,07:00,14:00,7,JOB-0041,0,1
TS-00241,EMP-042,2026-08-18,08:00,16:00,8,JOB-0042,1,1
TS-00242,EMP-043,2026-09-19,09:00,18:00,9,JOB-0043,1,1
TS-00243,EMP-044,2026-01-20,010:00,17:00,7,JOB-0044,1,1
TS-00244,EMP-045,2026-02-21,07:00,15:00,8,JOB-0045,1,1
TS-00245,EMP-046,2026-03-22,08:00,17:00,9,JOB-0046,0,0
TS-00246,EMP-047,2026-04-23,09:00,16:00,7,JOB-0047,1,1
TS-00247,EMP-048,2026-05-24,010:00,18:00,8,JOB-0048,1,1
TS-00248,EMP-049,2026-06-25,07:00,16:00,9,JOB-0049,1,1
TS-00249,EMP-050,2026-07-26,08:00,15:00,7,JOB-0050,1,1
TS-00250,EMP-001,2026-08-27,09:00,17:00,8,JOB-0051,0,1
TS-00251,EMP-002,2026-09-28,010:00,19:00,9,JOB-0052,1,1
TS-00252,EMP-003,2026-01-01,07:00,14:00,7,JOB-0053,1,0
TS-00253,EMP-004,2026-02-02,08:00,16:00,8,JOB-0054,1,1
TS-00254,EMP-005,2026-03-03,09:00,18:00,9,JOB-0055,1,1
TS-00255,EMP-006,2026-04-04,010:00,17:00,7,JOB-0056,0,1
TS-00256,EMP-007,2026-05-05,07:00,15:00,8,JOB-0057,1,1
TS-00257,EMP-008,2026-06-06,08:00,17:00,9,JOB-0058,1,1
TS-00258,EMP-009,2026-07-07,09:00,16:00,7,JOB-0059,1,1
TS-00259,EMP-010,2026-08-08,010:00,18:00,8,JOB-0060,1,0
TS-00260,EMP-011,2026-09-09,07:00,16:00,9,JOB-0061,0,1
TS-00261,EMP-012,2026-01-10,08:00,15:00,7,JOB-0062,1,1
TS-00262,EMP-013,2026-02-11,09:00,17:00,8,JOB-0063,1,1
TS-00263,EMP-014,2026-03-12,010:00,19:00,9,JOB-0064,1,1
TS-00264,EMP-015,2026-04-13,07:00,14:00,7,JOB-0065,1,1
TS-00265,EMP-016,2026-05-14,08:00,16:00,8,JOB-0066,0,1
TS-00266,EMP-017,2026-06-15,09:00,18:00,9,JOB-0067,1,0
TS-00267,EMP-018,2026-07-16,010:00,17:00,7,JOB-0068,1,1
TS-00268,EMP-019,2026-08-17,07:00,15:00,8,JOB-0069,1,1
TS-00269,EMP-020,2026-09-18,08:00,17:00,9,JOB-0070,1,1
TS-00270,EMP-021,2026-01-19,09:00,16:00,7,JOB-0071,0,1
TS-00271,EMP-022,2026-02-20,010:00,18:00,8,JOB-0072,1,1
TS-00272,EMP-023,2026-03-21,07:00,16:00,9,JOB-0073,1,1
TS-00273,EMP-024,2026-04-22,08:00,15:00,7,JOB-0074,1,0
TS-00274,EMP-025,2026-05-23,09:00,17:00,8,JOB-0075,1,1
TS-00275,EMP-026,2026-06-24,010:00,19:00,9,JOB-0076,0,1
TS-00276,EMP-027,2026-07-25,07:00,14:00,7,JOB-0077,1,1
TS-00277,EMP-028,2026-08-26,08:00,16:00,8,JOB-0078,1,1
TS-00278,EMP-029,2026-09-27,09:00,18:00,9,JOB-0079,1,1
TS-00279,EMP-030,2026-01-28,010:00,17:00,7,JOB-0080,1,1
TS-00280,EMP-031,2026-02-01,07:00,15:00,8,JOB-0081,0,0
TS-00281,EMP-032,2026-03-02,08:00,17:00,9,JOB-0082,1,1
TS-00282,EMP-033,2026-04-03,09:00,16:00,7,JOB-0083,1,1
TS-00283,EMP-034,2026-05-04,010:00,18:00,8,JOB-0084,1,1
TS-00284,EMP-035,2026-06-05,07:00,16:00,9,JOB-0085,1,1
TS-00285,EMP-036,2026-07-06,08:00,15:00,7,JOB-0086,0,1
TS-00286,EMP-037,2026-08-07,09:00,17:00,8,JOB-0087,1,1
TS-00287,EMP-038,2026-09-08,010:00,19:00,9,JOB-0088,1,0
TS-00288,EMP-039,2026-01-09,07:00,14:00,7,JOB-0089,1,1
TS-00289,EMP-040,2026-02-10,08:00,16:00,8,JOB-0090,1,1
TS-00290,EMP-041,2026-03-11,09:00,18:00,9,JOB-0091,0,1
TS-00291,EMP-042,2026-04-12,010:00,17:00,7,JOB-0092,1,1
TS-00292,EMP-043,2026-05-13,07:00,15:00,8,JOB-0093,1,1
TS-00293,EMP-044,2026-06-14,08:00,17:00,9,JOB-0094,1,1
TS-00294,EMP-045,2026-07-15,09:00,16:00,7,JOB-0095,1,0
TS-00295,EMP-046,2026-08-16,010:00,18:00,8,JOB-0096,0,1
TS-00296,EMP-047,2026-09-17,07:00,16:00,9,JOB-0097,1,1
TS-00297,EMP-048,2026-01-18,08:00,15:00,7,JOB-0098,1,1
TS-00298,EMP-049,2026-02-19,09:00,17:00,8,JOB-0099,1,1
TS-00299,EMP-050,2026-03-20,010:00,19:00,9,JOB-0100,1,1
TS-00300,EMP-001,2026-04-21,07:00,14:00,7,JOB-0001,0,1
TS-00301,EMP-002,2026-05-22,08:00,16:00,8,JOB-0002,1,0
TS-00302,EMP-003,2026-06-23,09:00,18:00,9,JOB-0003,1,1
TS-00303,EMP-004,2026-07-24,010:00,17:00,7,JOB-0004,1,1
TS-00304,EMP-005,2026-08-25,07:00,15:00,8,JOB-0005,1,1
TS-00305,EMP-006,2026-09-26,08:00,17:00,9,JOB-0006,0,1
TS-00306,EMP-007,2026-01-27,09:00,16:00,7,JOB-0007,1,1
TS-00307,EMP-008,2026-02-28,010:00,18:00,8,JOB-0008,1,1
TS-00308,EMP-009,2026-03-01,07:00,16:00,9,JOB-0009,1,0
TS-00309,EMP-010,2026-04-02,08:00,15:00,7,JOB-0010,1,1
TS-00310,EMP-011,2026-05-03,09:00,17:00,8,JOB-0011,0,1
TS-00311,EMP-012,2026-06-04,010:00,19:00,9,JOB-0012,1,1
TS-00312,EMP-013,2026-07-05,07:00,14:00,7,JOB-0013,1,1
TS-00313,EMP-014,2026-08-06,08:00,16:00,8,JOB-0014,1,1
TS-00314,EMP-015,2026-09-07,09:00,18:00,9,JOB-0015,1,1
TS-00315,EMP-016,2026-01-08,010:00,17:00,7,JOB-0016,0,0
TS-00316,EMP-017,2026-02-09,07:00,15:00,8,JOB-0017,1,1
TS-00317,EMP-018,2026-03-10,08:00,17:00,9,JOB-0018,1,1
TS-00318,EMP-019,2026-04-11,09:00,16:00,7,JOB-0019,1,1
TS-00319,EMP-020,2026-05-12,010:00,18:00,8,JOB-0020,1,1
TS-00320,EMP-021,2026-06-13,07:00,16:00,9,JOB-0021,0,1
TS-00321,EMP-022,2026-07-14,08:00,15:00,7,JOB-0022,1,1
TS-00322,EMP-023,2026-08-15,09:00,17:00,8,JOB-0023,1,0
TS-00323,EMP-024,2026-09-16,010:00,19:00,9,JOB-0024,1,1
TS-00324,EMP-025,2026-01-17,07:00,14:00,7,JOB-0025,1,1
TS-00325,EMP-026,2026-02-18,08:00,16:00,8,JOB-0026,0,1
TS-00326,EMP-027,2026-03-19,09:00,18:00,9,JOB-0027,1,1
TS-00327,EMP-028,2026-04-20,010:00,17:00,7,JOB-0028,1,1
TS-00328,EMP-029,2026-05-21,07:00,15:00,8,JOB-0029,1,1
TS-00329,EMP-030,2026-06-22,08:00,17:00,9,JOB-0030,1,0
TS-00330,EMP-031,2026-07-23,09:00,16:00,7,JOB-0031,0,1
TS-00331,EMP-032,2026-08-24,010:00,18:00,8,JOB-0032,1,1
TS-00332,EMP-033,2026-09-25,07:00,16:00,9,JOB-0033,1,1
TS-00333,EMP-034,2026-01-26,08:00,15:00,7,JOB-0034,1,1
TS-00334,EMP-035,2026-02-27,09:00,17:00,8,JOB-0035,1,1
TS-00335,EMP-036,2026-03-28,010:00,19:00,9,JOB-0036,0,1
TS-00336,EMP-037,2026-04-01,07:00,14:00,7,JOB-0037,1,0
TS-00337,EMP-038,2026-05-02,08:00,16:00,8,JOB-0038,1,1
TS-00338,EMP-039,2026-06-03,09:00,18:00,9,JOB-0039,1,1
TS-00339,EMP-040,2026-07-04,010:00,17:00,7,JOB-0040,1,1
TS-00340,EMP-041,2026-08-05,07:00,15:00,8,JOB-0041,0,1
TS-00341,EMP-042,2026-09-06,08:00,17:00,9,JOB-0042,1,1
TS-00342,EMP-043,2026-01-07,09:00,16:00,7,JOB-0043,1,1
TS-00343,EMP-044,2026-02-08,010:00,18:00,8,JOB-0044,1,0
TS-00344,EMP-045,2026-03-09,07:00,16:00,9,JOB-0045,1,1
TS-00345,EMP-046,2026-04-10,08:00,15:00,7,JOB-0046,0,1
TS-00346,EMP-047,2026-05-11,09:00,17:00,8,JOB-0047,1,1
TS-00347,EMP-048,2026-06-12,010:00,19:00,9,JOB-0048,1,1
TS-00348,EMP-049,2026-07-13,07:00,14:00,7,JOB-0049,1,1
