sku,name,category,qty,unit_cost,total_value,reorder_point,supplier,last_ordered,location
SKU-00028,Item Name 28,equipment,84,38.28,940,13,Supplier 9,2026-02-01,Warehouse-4-Aisle-9
SKU-00029,Item Name 29,safety,87,39.29,970,14,Supplier 10,2026-03-02,Warehouse-5-Aisle-10
SKU-00030,Item Name 30,parts,90,40.30,1000,15,Supplier 1,2026-04-03,Warehouse-1-Aisle-11
SKU-00031,Item Name 31,tools,93,41.31,1030,16,Supplier 2,2026-05-04,Warehouse-2-Aisle-12
SKU-00032,Item Name 32,supplies,96,42.32,1060,17,Supplier 3,2026-06-05,Warehouse-3-Aisle-13
SKU-00033,Item Name 33,equipment,99,43.33,1090,18,Supplier 4,2026-07-06,Warehouse-4-Aisle-14
SKU-00034,Item Name 34,safety,2,44.34,1120,19,Supplier 5,2026-08-07,Warehouse-5-Aisle-15
SKU-00035,Item Name 35,parts,5,45.35,1150,20,Supplier 6,2026-09-08,Warehouse-1-Aisle-16
SKU-00036,Item Name 36,tools,8,46.36,1180,21,Supplier 7,2026-01-09,Warehouse-2-Aisle-17
SKU-00037,Item Name 37,supplies,11,47.37,1210,22,Supplier 8,2026-02-10,Warehouse-3-Aisle-18
SKU-00038,Item Name 38,equipment,14,48.38,1240,23,Supplier 9,2026-03-11,Warehouse-4-Aisle-19
SKU-00039,Item Name 39,safety,17,49.39,1270,24,Supplier 10,2026-04-12,Warehouse-5-Aisle-20
SKU-00040,Item Name 40,parts,20,50.40,1300,5,Supplier 1,2026-05-13,Warehouse-1-Aisle-1
SKU-00041,Item Name 41,tools,23,51.41,1330,6,Supplier 2,2026-06-14,Warehouse-2-Aisle-2
SKU-00042,Item Name 42,supplies,26,52.42,1360,7,Supplier 3,2026-07-15,Warehouse-3-Aisle-3
SKU-00043,Item Name 43,equipment,29,53.43,1390,8,Supplier 4,2026-08-16,Warehouse-4-Aisle-4
SKU-00044,Item Name 44,safety,32,54.44,1420,9,Supplier 5,2026-09-17,Warehouse-5-Aisle-5
SKU-00045,Item Name 45,parts,35,55.45,1450,10,Supplier 6,2026-01-18,Warehouse-1-Aisle-6
SKU-00046,Item Name 46,tools,38,56.46,1480,11,Supplier 7,2026-02-19,Warehouse-2-Aisle-7
SKU-00047,Item Name 47,supplies,41,57.47,1510,12,Supplier 8,2026-03-20,Warehouse-3-Aisle-8
SKU-00048,Item Name 48,equipment,44,58.48,1540,13,Supplier 9,2026-04-21,Warehouse-4-Aisle-9
SKU-00049,Item Name 49,safety,47,59.49,1570,14,Supplier 10,2026-05-22,Warehouse-5-Aisle-10
SKU-00050,Item Name 50,parts,50,60.50,1600,15,Supplier 1,2026-06-23,Warehouse-1-Aisle-11
SKU-00051,Item Name 51,tools,53,61.51,1630,16,Supplier 2,2026-07-24,Warehouse-2-Aisle-12
SKU-00052,Item Name 52,supplies,56,62.52,1660,17,Supplier 3,2026-08-25,Warehouse-3-Aisle-13
SKU-00053,Item Name 53,equipment,59,63.53,1690,18,Supplier 4,2026-09-26,Warehouse-4-Aisle-14
SKU-00054,Item Name 54,safety,62,64.54,1720,19,Supplier 5,2026-01-27,Warehouse-5-Aisle-15
SKU-00055,Item Name 55,parts,65,65.55,1750,20,Supplier 6,2026-02-28,Warehouse-1-Aisle-16
SKU-00056,Item Name 56,tools,68,66.56,1780,21,Supplier 7,2026-03-01,Warehouse-2-Aisle-17
SKU-00057,Item Name 57,supplies,71,67.57,1810,22,Supplier 8,2026-04-02,Warehouse-3-Aisle-18
SKU-00058,Item Name 58,equipment,74,68.58,1840,23,Supplier 9,2026-05-03,Warehouse-4-Aisle-19
SKU-00059,Item Name 59,safety,77,69.59,1870,24,Supplier 10,2026-06-04,Warehouse-5-Aisle-20
SKU-00060,Item Name 60,parts,80,70.60,1900,5,Supplier 1,2026-07-05,Warehouse-1-Aisle-1
SKU-00061,Item Name 61,tools,83,71.61,1930,6,Supplier 2,2026-08-06,Warehouse-2-Aisle-2
SKU-00062,Item Name 62,supplies,86,72.62,1960,7,Supplier 3,2026-09-07,Warehouse-3-Aisle-3
SKU-00063,Item Name 63,equipment,89,73.63,1990,8,Supplier 4,2026-01-08,Warehouse-4-Aisle-4
SKU-00064,Item Name 64,safety,92,74.64,2020,9,Supplier 5,2026-02-09,Warehouse-5-Aisle-5
SKU-00065,Item Name 65,parts,95,75.65,2050,10,Supplier 6,2026-03-10,Warehouse-1-Aisle-6
SKU-00066,Item Name 66,tools,98,76.66,2080,11,Supplier 7,2026-04-11,Warehouse-2-Aisle-7
SKU-00067,Item Name 67,supplies,1,77.67,2110,12,Supplier 8,2026-05-12,Warehouse-3-Aisle-8
SKU-00068,Item Name 68,equipment,4,78.68,2140,13,Supplier 9,2026-06-13,Warehouse-4-Aisle-9
SKU-00069,Item Name 69,safety,7,79.69,2170,14,Supplier 10,2026-07-14,Warehouse-5-Aisle-10
SKU-00070,Item Name 70,parts,10,80.70,2200,15,Supplier 1,2026-08-15,Warehouse-1-Aisle-11
SKU-00071,Item Name 71,tools,13,81.71,2230,16,Supplier 2,2026-09-16,Warehouse-2-Aisle-12
SKU-00072,Item Name 72,supplies,16,82.72,2260,17,Supplier 3,2026-01-17,Warehouse-3-Aisle-13
SKU-00073,Item Name 73,equipment,19,83.73,2290,18,Supplier 4,2026-02-18,Warehouse-4-Aisle-14
SKU-00074,Item Name 74,safety,22,84.74,2320,19,Supplier 5,2026-03-19,Warehouse-5-Aisle-15
SKU-00075,Item Name 75,parts,25,85.75,2350,20,Supplier 6,2026-04-20,Warehouse-1-Aisle-16
SKU-00076,Item Name 76,tools,28,86.76,2380,21,Supplier 7,2026-05-21,Warehouse-2-Aisle-17
SKU-00077,Item Name 77,supplies,31,87.77,2410,22,Supplier 8,2026-06-22,Warehouse-3-Aisle-18
SKU-00078,Item Name 78,equipment,34,88.78,2440,23,Supplier 9,2026-07-23,Warehouse-4-Aisle-19
SKU-00079,Item Name 79,safety,37,89.79,2470,24,Supplier 10,2026-08-24,Warehouse-5-Aisle-20
SKU-00080,Item Name 80,parts,40,90.80,2500,5,Supplier 1,2026-09-25,Warehouse-1-Aisle-1
SKU-00081,Item Name 81,tools,43,91.81,2530,6,Supplier 2,2026-01-26,Warehouse-2-Aisle-2
SKU-00082,Item Name 82,supplies,46,92.82,2560,7,Supplier 3,2026-02-27,Warehouse-3-Aisle-3
SKU-00083,Item Name 83,equipment,49,93.83,2590,8,Supplier 4,2026-03-28,Warehouse-4-Aisle-4
SKU-00084,Item Name 84,safety,52,94.84,2620,9,Supplier 5,2026-04-01,Warehouse-5-Aisle-5
SKU-00085,Item Name 85,parts,55,95.85,2650,10,Supplier 6,2026-05-02,Warehouse-1-Aisle-6
SKU-00086,Item Name 86,tools,58,96.86,2680,11,Supplier 7,2026-06-03,Warehouse-2-Aisle-7
SKU-00087,Item Name 87,supplies,61,97.87,2710,12,Supplier 8,2026-07-04,Warehouse-3-Aisle-8
SKU-00088,Item Name 88,equipment,64,98.88,2740,13,Supplier 9,2026-08-05,Warehouse-4-Aisle-9
SKU-00089,Item Name 89,safety,67,99.89,2770,14,Supplier 10,2026-09-06,Warehouse-5-Aisle-10
SKU-00090,Item Name 90,parts,70,100.90,2800,15,Supplier 1,2026-01-07,Warehouse-1-Aisle-11
SKU-00091,Item Name 91,tools,73,101.91,2830,16,Supplier 2,2026-02-08,Warehouse-2-Aisle-12
SKU-00092,Item Name 92,supplies,76,102.92,2860,17,Supplier 3,2026-03-09,Warehouse-3-Aisle-13
SKU-00093,Item Name 93,equipment,79,103.93,2890,18,Supplier 4,2026-04-10,Warehouse-4-Aisle-14
SKU-00094,Item Name 94,safety,82,104.94,2920,19,Supplier 5,2026-05-11,Warehouse-5-Aisle-15
SKU-00095,Item Name 95,parts,85,105.95,2950,20,Supplier 6,2026-06-12,Warehouse-1-Aisle-16
SKU-00096,Item Name 96,tools,88,106.96,2980,21,Supplier 7,2026-07-13,Warehouse-2-Aisle-17
SKU-00097,Item Name 97,supplies,91,107.97,3010,22,Supplier 8,2026-08-14,Warehouse-3-Aisle-18
SKU-00098,Item Name 98,equipment,94,108.98,3040,23,Supplier 9,2026-09-15,Warehouse-4-Aisle-19
SKU-00099,Item Name 99,safety,97,109.99,3070,24,Supplier 10,2026-01-16,Warehouse-5-Aisle-20
SKU-00100,Item Name 100,parts,0,110.0,3100,5,Supplier 1,2026-02-17,Warehouse-1-Aisle-1
SKU-00101,Item Name 101,tools,3,111.1,3130,6,Supplier 2,2026-03-18,Warehouse-2-Aisle-2
SKU-00102,Item Name 102,supplies,6,112.2,3160,7,Supplier 3,2026-04-19,Warehouse-3-Aisle-3
SKU-00103,Item Name 103,equipment,9,113.3,3190,8,Supplier 4,2026-05-20,Warehouse-4-Aisle-4
SKU-00104,Item Name 104,safety,12,114.4,3220,9,Supplier 5,2026-06-21,Warehouse-5-Aisle-5
SKU-00105,Item Name 105,parts,15,115.5,3250,10,Supplier 6,2026-07-22,Warehouse-1-Aisle-6
SKU-00106,Item Name 106,tools,18,116.6,3280,11,Supplier 7,2026-08-23,Warehouse-2-Aisle-7
SKU-00107,Item Name 107,supplies,21,117.7,3310,12,Supplier 8,2026-09-24,Warehouse-3-Aisle-8
SKU-00108,Item Name 108,equipment,24,118.8,3340,13,Supplier 9,2026-01-25,Warehouse-4-Aisle-9
SKU-00109,Item Name 109,safety,27,119.9,3370,14,Supplier 10,2026-02-26,Warehouse-5-Aisle-10
SKU-00110,Item Name 110,parts,30,120.10,3400,15,Supplier 1,2026-03-27,Warehouse-1-Aisle-11
SKU-00111,Item Name 111,tools,33,121.11,3430,16,Supplier 2,2026-04-28,Warehouse-2-Aisle-12
SKU-00112,Item Name 112,supplies,36,122.12,3460,17,Supplier 3,2026-05-01,Warehouse-3-Aisle-13
SKU-00113,Item Name 113,equipment,39,123.13,3490,18,Supplier 4,2026-06-02,Warehouse-4-Aisle-14
SKU-00114,Item Name 114,safety,42,124.14,3520,19,Supplier 5,2026-07-03,Warehouse-5-Aisle-15
SKU-00115,Item Name 115,parts,45,125.15,3550,20,Supplier 6,2026-08-04,Warehouse-1-Aisle-16
SKU-00116,Item Name 116,tools,48,126.16,3580,21,Supplier 7,2026-09-05,Warehouse-2-Aisle-17
SKU-00117,Item Name 117,supplies,51,127.17,3610,22,Supplier 8,2026-01-06,Warehouse-3-Aisle-18
SKU-00118,Item Name 118,equipment,54,128.18,3640,23,Supplier 9,2026-02-07,Warehouse-4-Aisle-19
SKU-00119,Item Name 119,safety,57,129.19,3670,24,Supplier 10,2026-03-08,Warehouse-5-Aisle-20
SKU-00120,Item Name 120,parts,60,130.20,3700,5,Supplier 1,2026-04-09,Warehouse-1-Aisle-1
SKU-00121,Item Name 121,tools,63,131.21,3730,6,Supplier 2,2026-05-10,Warehouse-2-Aisle-2
SKU-00122,Item Name 122,supplies,66,132.22,3760,7,Supplier 3,2026-06-11,Warehouse-3-Aisle-3
SKU-00123,Item Name 123,equipment,69,133.23,3790,8,Supplier 4,2026-07-12,Warehouse-4-Aisle-4
SKU-00124,Item Name 124,safety,72,134.24,3820,9,Supplier 5,2026-08-13,Warehouse-5-Aisle-5
SKU-00125,Item Name 125,parts,75,135.25,3850,10,Supplier 6,2026-09-14,Warehouse-1-Aisle-6
SKU-00126,Item Name 126,tools,78,136.26,3880,11,Supplier 7,2026-01-15,Warehouse-2-Aisle-7
SKU-00127,Item Name 127,supplies,81,137.27,3910,12,Supplier 8,2026-02-16,Warehouse-3-Aisle-8
SKU-00128,Item Name 128,equipment,84,138.28,3940,13,Supplier 9,2026-03-17,Warehouse-4-Aisle-9
SKU-00129,Item Name 129,safety,87,139.29,3970,14,Supplier 10,2026-04-18,Warehouse-5-Aisle-10
SKU-00130,Item Name 130,parts,90,140.30,4000,15,Supplier 1,2026-05-19,Warehouse-1-Aisle-11
SKU-00131,Item Name 131,tools,93,141.31,4030,16,Supplier 2,2026-06-20,Warehouse-2-Aisle-12
SKU-00132,Item Name 132,supplies,96,142.32,4060,17,Supplier 3,2026-07-21,Warehouse-3-Aisle-13
SKU-00133,Item Name 133,equipment,99,143.33,4090,18,Supplier 4,2026-08-22,Warehouse-4-Aisle-14
SKU-00134,Item Name 134,safety,2,144.34,4120,19,Supplier 5,2026-09-23,Warehouse-5-Aisle-15
SKU-00135,Item Name 135,parts,5,145.35,4150,20,Supplier 6,2026-01-24,Warehouse-1-Aisle-16
SKU-00136,Item Name 136,tools,8,146.36,4180,21,Supplier 7,2026-02-25,Warehouse-2-Aisle-17
SKU-00137,Item Name 137,supplies,11,147.37,4210,22,Supplier 8,2026-03-26,Warehouse-3-Aisle-18
SKU-00138,Item Name 138,equipment,14,148.38,4240,23,Supplier 9,2026-04-27,Warehouse-4-Aisle-19
SKU-00139,Item Name 139,safety,17,149.39,4270,24,Supplier 10,2026-05-28,Warehouse-5-Aisle-20
SKU-00140,Item Name 140,parts,20,150.40,4300,5,Supplier 1,2026-06-01,Warehouse-1-Aisle-1
SKU-00141,Item Name 141,tools,23,151.41,4330,6,Supplier 2,2026-07-02,Warehouse-2-Aisle-2
SKU-00142,Item Name 142,supplies,26,152.42,4360,7,Supplier 3,2026-08-03,Warehouse-3-Aisle-3
SKU-00143,Item Name 143,equipment,29,153.43,4390,8,Supplier 4,2026-09-04,Warehouse-4-Aisle-4
SKU-00144,Item Name 144,safety,32,154.44,4420,9,Supplier 5,2026-01-05,Warehouse-5-Aisle-5
SKU-00145,Item Name 145,parts,35,155.45,4450,10,Supplier 6,2026-02-06,Warehouse-1-Aisle-6
SKU-00146,Item Name 146,tools,38,156.46,4480,11,Supplier 7,2026-03-07,Warehouse-2-Aisle-7
SKU-00147,Item Name 147,supplies,41,157.47,4510,12,Supplier 8,2026-04-08,Warehouse-3-Aisle-8
SKU-00148,Item Name 148,equipment,44,158.48,4540,13,Supplier 9,2026-05-09,Warehouse-4-Aisle-9
SKU-00149,Item Name 149,safety,47,159.49,4570,14,Supplier 10,2026-06-10,Warehouse-5-Aisle-10
SKU-00150,Item Name 150,parts,50,160.50,4600,15,Supplier 1,2026-07-11,Warehouse-1-Aisle-11
SKU-00151,Item Name 151,tools,53,161.51,4630,16,Supplier 2,2026-08-12,Warehouse-2-Aisle-12
SKU-00152,Item Name 152,supplies,56,162.52,4660,17,Supplier 3,2026-09-13,Warehouse-3-Aisle-13
SKU-00153,Item Name 153,equipment,59,163.53,4690,18,Supplier 4,2026-01-14,Warehouse-4-Aisle-14
SKU-00154,Item Name 154,safety,62,164.54,4720,19,Supplier 5,2026-02-15,Warehouse-5-Aisle-15
SKU-00155,Item Name 155,parts,65,165.55,4750,20,Supplier 6,2026-03-16,Warehouse-1-Aisle-16
SKU-00156,Item Name 156,tools,68,166.56,4780,21,Supplier 7,2026-04-17,Warehouse-2-Aisle-17
SKU-00157,Item Name 157,supplies,71,167.57,4810,22,Supplier 8,2026-05-18,Warehouse-3-Aisle-18
SKU-00158,Item Name 158,equipment,74,168.58,4840,23,Supplier 9,2026-06-19,Warehouse-4-Aisle-19
SKU-00159,Item Name 159,safety,77,169.59,4870,24,Supplier 10,2026-07-20,Warehouse-5-Aisle-20
SKU-00160,Item Name 160,parts,80,170.60,4900,5,Supplier 1,2026-08-21,Warehouse-1-Aisle-1
SKU-00161,Item Name 161,tools,83,171.61,4930,6,Supplier 2,2026-09-22,Warehouse-2-Aisle-2
SKU-00162,Item Name 162,supplies,86,172.62,4960,7,Supplier 3,2026-01-23,Warehouse-3-Aisle-3
SKU-00163,Item Name 163,equipment,89,173.63,4990,8,Supplier 4,2026-02-24,Warehouse-4-Aisle-4
SKU-00164,Item Name 164,safety,92,174.64,5020,9,Supplier 5,2026-03-25,Warehouse-5-Aisle-5
SKU-00165,Item Name 165,parts,95,175.65,5050,10,Supplier 6,2026-04-26,Warehouse-1-Aisle-6
SKU-00166,Item Name 166,tools,98,176.66,5080,11,Supplier 7,2026-05-27,Warehouse-2-Aisle-7
SKU-00167,Item Name 167,supplies,1,177.67,5110,12,Supplier 8,2026-06-28,Warehouse-3-Aisle-8
SKU-00168,Item Name 168,equipment,4,178.68,5140,13,Supplier 9,2026-07-01,Warehouse-4-Aisle-9
SKU-00169,Item Name 169,safety,7,179.69,5170,14,Supplier 10,2026-08-02,Warehouse-5-Aisle-10
SKU-00170,Item Name 170,parts,10,180.70,5200,15,Supplier 1,2026-09-03,Warehouse-1-Aisle-11
SKU-00171,Item Name 171,tools,13,181.71,5230,16,Supplier 2,2026-01-04,Warehouse-2-Aisle-12
SKU-00172,Item Name 172,supplies,16,182.72,5260,17,Supplier 3,2026-02-05,Warehouse-3-Aisle-13
SKU-00173,Item Name 173,equipment,19,183.73,5290,18,Supplier 4,2026-03-06,Warehouse-4-Aisle-14
SKU-00174,Item Name 174,safety,22,184.74,5320,19,Supplier 5,2026-04-07,Warehouse-5-Aisle-15
SKU-00175,Item Name 175,parts,25,185.75,5350,20,Supplier 6,2026-05-08,Warehouse-1-Aisle-16
SKU-00176,Item Name 176,tools,28,186.76,5380,21,Supplier 7,2026-06-09,Warehouse-2-Aisle-17
SKU-00177,Item Name 177,supplies,31,187.77,5410,22,Supplier 8,2026-07-10,Warehouse-3-Aisle-18
SKU-00178,Item Name 178,equipment,34,188.78,5440,23,Supplier 9,2026-08-11,Warehouse-4-Aisle-19
SKU-00179,Item Name 179,safety,37,189.79,5470,24,Supplier 10,2026-09-12,Warehouse-5-Aisle-20
SKU-00180,Item Name 180,parts,40,190.80,5500,5,Supplier 1,2026-01-13,Warehouse-1-Aisle-1
SKU-00181,Item Name 181,tools,43,191.81,5530,6,Supplier 2,2026-02-14,Warehouse-2-Aisle-2
SKU-00182,Item Name 182,supplies,46,192.82,5560,7,Supplier 3,2026-03-15,Warehouse-3-Aisle-3
SKU-00183,Item Name 183,equipment,49,193.83,5590,8,Supplier 4,2026-04-16,Warehouse-4-Aisle-4
SKU-00184,Item Name 184,safety,52,194.84,5620,9,Supplier 5,2026-05-17,Warehouse-5-Aisle-5
SKU-00185,Item Name 185,parts,55,195.85,5650,10,Supplier 6,2026-06-18,Warehouse-1-Aisle-6
SKU-00186,Item Name 186,tools,58,196.86,5680,11,Supplier 7,2026-07-19,Warehouse-2-Aisle-7
SKU-00187,Item Name 187,supplies,61,197.87,5710,12,Supplier 8,2026-08-20,Warehouse-3-Aisle-8
SKU-00188,Item Name 188,equipment,64,198.88,5740,13,Supplier 9,2026-09-21,Warehouse-4-Aisle-9
SKU-00189,Item Name 189,safety,67,199.89,5770,14,Supplier 10,2026-01-22,Warehouse-5-Aisle-10
SKU-00190,Item Name 190,parts,70,200.90,5800,15,Supplier 1,2026-02-23,Warehouse-1-Aisle-11
SKU-00191,Item Name 191,tools,73,201.91,5830,16,Supplier 2,2026-03-24,Warehouse-2-Aisle-12
SKU-00192,Item Name 192,supplies,76,202.92,5860,17,Supplier 3,2026-04-25,Warehouse-3-Aisle-13
SKU-00193,Item Name 193,equipment,79,203.93,5890,18,Supplier 4,2026-05-26,Warehouse-4-Aisle-14
SKU-00194,Item Name 194,safety,82,204.94,5920,19,Supplier 5,2026-06-27,Warehouse-5-Aisle-15
SKU-00195,Item Name 195,parts,85,205.95,5950,20,Supplier 6,2026-07-28,Warehouse-1-Aisle-16
SKU-00196,Item Name 196,tools,88,206.96,5980,21,Supplier 7,2026-08-01,Warehouse-2-Aisle-17
SKU-00197,Item Name 197,supplies,91,207.97,6010,22,Supplier 8,2026-09-02,Warehouse-3-Aisle-18
SKU-00198,Item Name 198,equipment,94,208.98,6040,23,Supplier 9,2026-01-03,Warehouse-4-Aisle-19
SKU-00199,Item Name 199,safety,97,209.99,6070,24,Supplier 10,2026-02-04,Warehouse-5-Aisle-20
SKU-00200,Item Name 200,parts,0,210.0,6100,5,Supplier 1,2026-03-05,Warehouse-1-Aisle-1
SKU-00201,Item Name 201,tools,3,211.1,6130,6,Supplier 2,2026-04-06,Warehouse-2-Aisle-2
SKU-00202,Item Name 202,supplies,6,212.2,6160,7,Supplier 3,2026-05-07,Warehouse-3-Aisle-3
SKU-00203,Item Name 203,equipment,9,213.3,6190,8,Supplier 4,2026-06-08,Warehouse-4-Aisle-4
SKU-00204,Item Name 204,safety,12,214.4,6220,9,Supplier 5,2026-07-09,Warehouse-5-Aisle-5
SKU-00205,Item Name 205,parts,15,215.5,6250,10,Supplier 6,2026-08-10,Warehouse-1-Aisle-6
SKU-00206,Item Name 206,tools,18,216.6,6280,11,Supplier 7,2026-09-11,Warehouse-2-Aisle-7
SKU-00207,Item Name 207,supplies,21,217.7,6310,12,Supplier 8,2026-01-12,Warehouse-3-Aisle-8
SKU-00208,Item Name 208,equipment,24,218.8,6340,13,Supplier 9,2026-02-13,Warehouse-4-Aisle-9
SKU-00209,Item Name 209,safety,27,219.9,6370,14,Supplier 10,2026-03-14,Warehouse-5-Aisle-10
SKU-00210,Item Name 210,parts,30,220.10,6400,15,Supplier 1,2026-04-15,Warehouse-1-Aisle-11
SKU-00211,Item Name 211,tools,33,221.11,6430,16,Supplier 2,2026-05-16,Warehouse-2-Aisle-12
SKU-00212,Item Name 212,supplies,36,222.12,6460,17,Supplier 3,2026-06-17,Warehouse-3-Aisle-13
SKU-00213,Item Name 213,equipment,39,223.13,6490,18,Supplier 4,2026-07-18,Warehouse-4-Aisle-14
SKU-00214,Item Name 214,safety,42,224.14,6520,19,Supplier 5,2026-08-19,Warehouse-5-Aisle-15
SKU-00215,Item Name 215,parts,45,225.15,6550,20,Supplier 6,2026-09-20,Warehouse-1-Aisle-16
SKU-00216,Item Name 216,tools,48,226.16,6580,21,Supplier 7,2026-01-21,Warehouse-2-Aisle-17
SKU-00217,Item Name 217,supplies,51,227.17,6610,22,Supplier 8,2026-02-22,Warehouse-3-Aisle-18
SKU-00218,Item Name 218,equipment,54,228.18,6640,23,Supplier 9,2026-03-23,Warehouse-4-Aisle-19
SKU-00219,Item Name 219,safety,57,229.19,6670,24,Supplier 10,2026-04-24,Warehouse-5-Aisle-20
SKU-00220,Item Name 220,parts,60,230.20,6700,5,Supplier 1,2026-05-25,Warehouse-1-Aisle-1
SKU-00221,Item Name 221,tools,63,231.21,6730,6,Supplier 2,2026-06-26,Warehouse-2-Aisle-2
SKU-00222,Item Name 222,supplies,66,232.22,6760,7,Supplier 3,2026-07-27,Warehouse-3-Aisle-3
SKU-00223,Item Name 223,equipment,69,233.23,6790,8,Supplier 4,2026-08-28,Warehouse-4-Aisle-4
SKU-00224,Item Name 224,safety,72,234.24,6820,9,Supplier 5,2026-09-01,Warehouse-5-Aisle-5
SKU-00225,Item Name 225,parts,75,235.25,6850,10,Supplier 6,2026-01-02,Warehouse-1-Aisle-6
SKU-00226,Item Name 226,tools,78,236.26,6880,11,Supplier 7,2026-02-03,Warehouse-2-Aisle-7
SKU-00227,Item Name 227,supplies,81,237.27,6910,12,Supplier 8,2026-03-04,Warehouse-3-Aisle-8
SKU-00228,Item Name 228,equipment,84,238.28,6940,13,Supplier 9,2026-04-05,Warehouse-4-Aisle-9
SKU-00229,Item Name 229,safety,87,239.29,6970,14,Supplier 10,2026-05-06,Warehouse-5-Aisle-10
SKU-00230,Item Name 230,parts,90,240.30,7000,15,Supplier 1,2026-06-07,Warehouse-1-Aisle-11
SKU-00231,Item Name 231,tools,93,241.31,7030,16,Supplier 2,2026-07-08,Warehouse-2-Aisle-12
SKU-00232,Item Name 232,supplies,96,242.32,7060,17,Supplier 3,2026-08-09,Warehouse-3-Aisle-13
SKU-00233,Item Name 233,equipment,99,243.33,7090,18,Supplier 4,2026-09-10,Warehouse-4-Aisle-14
SKU-00234,Item Name 234,safety,2,244.34,7120,19,Supplier 5,2026-01-11,Warehouse-5-Aisle-15
SKU-00235,Item Name 235,parts,5,245.35,7150,20,Supplier 6,2026-02-12,Warehouse-1-Aisle-16
SKU-00236,Item Name 236,tools,8,246.36,7180,21,Supplier 7,2026-03-13,Warehouse-2-Aisle-17
SKU-00237,Item Name 237,supplies,11,247.37,7210,22,Supplier 8,2026-04-14,Warehouse-3-Aisle-18
SKU-00238,Item Name 238,equipment,14,248.38,7240,23,Supplier 9,2026-05-15,Warehouse-4-Aisle-19
SKU-00239,Item Name 239,safety,17,249.39,7270,24,Supplier 10,2026-06-16,Warehouse-5-Aisle-20
SKU-00240,Item Name 240,parts,20,250.40,7300,5,Supplier 1,2026-07-17,Warehouse-1-Aisle-1
SKU-00241,Item Name 241,tools,23,251.41,7330,6,Supplier 2,2026-08-18,Warehouse-2-Aisle-2
SKU-00242,Item Name 242,supplies,26,252.42,7360,7,Supplier 3,2026-09-19,Warehouse-3-Aisle-3
SKU-00243,Item Name 243,equipment,29,253.43,7390,8,Supplier 4,2026-01-20,Warehouse-4-Aisle-4
