contract_id,client_id,start_date,end_date,value,type,auto_renew,status,assigned_manager
CON-00218,CLT-0219,2026-03-01,2027-03-01,59500,quarterly,0,renewed,EMP-019
CON-00219,CLT-0220,2026-04-01,2027-04-01,59750,project,1,cancelled,EMP-020
CON-00220,CLT-0221,2026-05-01,2027-05-01,60000,annual,0,active,EMP-001
CON-00221,CLT-0222,2026-06-01,2027-06-01,60250,monthly,0,expiring,EMP-002
CON-00222,CLT-0223,2026-07-01,2027-07-01,60500,quarterly,1,renewed,EMP-003
CON-00223,CLT-0224,2026-08-01,2027-08-01,60750,project,0,cancelled,EMP-004
CON-00224,CLT-0225,2026-09-01,2027-09-01,61000,annual,0,active,EMP-005
CON-00225,CLT-0226,2026-01-01,2027-01-01,61250,monthly,1,expiring,EMP-006
CON-00226,CLT-0227,2026-02-01,2027-02-01,61500,quarterly,0,renewed,EMP-007
CON-00227,CLT-0228,2026-03-01,2027-03-01,61750,project,0,cancelled,EMP-008
CON-00228,CLT-0229,2026-04-01,2027-04-01,62000,annual,1,active,EMP-009
CON-00229,CLT-0230,2026-05-01,2027-05-01,62250,monthly,0,expiring,EMP-010
CON-00230,CLT-0231,2026-06-01,2027-06-01,62500,quarterly,0,renewed,EMP-011
CON-00231,CLT-0232,2026-07-01,2027-07-01,62750,project,1,cancelled,EMP-012
CON-00232,CLT-0233,2026-08-01,2027-08-01,63000,annual,0,active,EMP-013
CON-00233,CLT-0234,2026-09-01,2027-09-01,63250,monthly,0,expiring,EMP-014
CON-00234,CLT-0235,2026-01-01,2027-01-01,63500,quarterly,1,renewed,EMP-015
CON-00235,CLT-0236,2026-02-01,2027-02-01,63750,project,0,cancelled,EMP-016
CON-00236,CLT-0237,2026-03-01,2027-03-01,64000,annual,0,active,EMP-017
CON-00237,CLT-0238,2026-04-01,2027-04-01,64250,monthly,1,expiring,EMP-018
CON-00238,CLT-0239,2026-05-01,2027-05-01,64500,quarterly,0,renewed,EMP-019
CON-00239,CLT-0240,2026-06-01,2027-06-01,64750,project,0,cancelled,EMP-020
CON-00240,CLT-0241,2026-07-01,2027-07-01,65000,annual,1,active,EMP-001
CON-00241,CLT-0242,2026-08-01,2027-08-01,65250,monthly,0,expiring,EMP-002
CON-00242,CLT-0243,2026-09-01,2027-09-01,65500,quarterly,0,renewed,EMP-003
CON-00243,CLT-0244,2026-01-01,2027-01-01,65750,project,1,cancelled,EMP-004
CON-00244,CLT-0245,2026-02-01,2027-02-01,66000,annual,0,active,EMP-005
CON-00245,CLT-0246,2026-03-01,2027-03-01,66250,monthly,0,expiring,EMP-006
CON-00246,CLT-0247,2026-04-01,2027-04-01,66500,quarterly,1,renewed,EMP-007
CON-00247,CLT-0248,2026-05-01,2027-05-01,66750,project,0,cancelled,EMP-008
CON-00248,CLT-0249,2026-06-01,2027-06-01,67000,annual,0,active,EMP-009
CON-00249,CLT-0250,2026-07-01,2027-07-01,67250,monthly,1,expiring,EMP-010
CON-00250,CLT-0251,2026-08-01,2027-08-01,67500,quarterly,0,renewed,EMP-011
CON-00251,CLT-0252,2026-09-01,2027-09-01,67750,project,0,cancelled,EMP-012
CON-00252,CLT-0253,2026-01-01,2027-01-01,68000,annual,1,active,EMP-013
CON-00253,CLT-0254,2026-02-01,2027-02-01,68250,monthly,0,expiring,EMP-014
CON-00254,CLT-0255,2026-03-01,2027-03-01,68500,quarterly,0,renewed,EMP-015
CON-00255,CLT-0256,2026-04-01,2027-04-01,68750,project,1,cancelled,EMP-016
CON-00256,CLT-0257,2026-05-01,2027-05-01,69000,annual,0,active,EMP-017
CON-00257,CLT-0258,2026-06-01,2027-06-01,69250,monthly,0,expiring,EMP-018
CON-00258,CLT-0259,2026-07-01,2027-07-01,69500,quarterly,1,renewed,EMP-019
CON-00259,CLT-0260,2026-08-01,2027-08-01,69750,project,0,cancelled,EMP-020
CON-00260,CLT-0261,2026-09-01,2027-09-01,70000,annual,0,active,EMP-001
CON-00261,CLT-0262,2026-01-01,2027-01-01,70250,monthly,1,expiring,EMP-002
CON-00262,CLT-0263,2026-02-01,2027-02-01,70500,quarterly,0,renewed,EMP-003
CON-00263,CLT-0264,2026-03-01,2027-03-01,70750,project,0,cancelled,EMP-004
CON-00264,CLT-0265,2026-04-01,2027-04-01,71000,annual,1,active,EMP-005
CON-00265,CLT-0266,2026-05-01,2027-05-01,71250,monthly,0,expiring,EMP-006
CON-00266,CLT-0267,2026-06-01,2027-06-01,71500,quarterly,0,renewed,EMP-007
CON-00267,CLT-0268,2026-07-01,2027-07-01,71750,project,1,cancelled,EMP-008
CON-00268,CLT-0269,2026-08-01,2027-08-01,72000,annual,0,active,EMP-009
CON-00269,CLT-0270,2026-09-01,2027-09-01,72250,monthly,0,expiring,EMP-010
CON-00270,CLT-0271,2026-01-01,2027-01-01,72500,quarterly,1,renewed,EMP-011
CON-00271,CLT-0272,2026-02-01,2027-02-01,72750,project,0,cancelled,EMP-012
CON-00272,CLT-0273,2026-03-01,2027-03-01,73000,annual,0,active,EMP-013
CON-00273,CLT-0274,2026-04-01,2027-04-01,73250,monthly,1,expiring,EMP-014
CON-00274,CLT-0275,2026-05-01,2027-05-01,73500,quarterly,0,renewed,EMP-015
CON-00275,CLT-0276,2026-06-01,2027-06-01,73750,project,0,cancelled,EMP-016
CON-00276,CLT-0277,2026-07-01,2027-07-01,74000,annual,1,active,EMP-017
CON-00277,CLT-0278,2026-08-01,2027-08-01,74250,monthly,0,expiring,EMP-018
CON-00278,CLT-0279,2026-09-01,2027-09-01,74500,quarterly,0,renewed,EMP-019
CON-00279,CLT-0280,2026-01-01,2027-01-01,74750,project,1,cancelled,EMP-020
CON-00280,CLT-0281,2026-02-01,2027-02-01,75000,annual,0,active,EMP-001
CON-00281,CLT-0282,2026-03-01,2027-03-01,75250,monthly,0,expiring,EMP-002
CON-00282,CLT-0283,2026-04-01,2027-04-01,75500,quarterly,1,renewed,EMP-003
CON-00283,CLT-0284,2026-05-01,2027-05-01,75750,project,0,cancelled,EMP-004
CON-00284,CLT-0285,2026-06-01,2027-06-01,76000,annual,0,active,EMP-005
CON-00285,CLT-0286,2026-07-01,2027-07-01,76250,monthly,1,expiring,EMP-006
CON-00286,CLT-0287,2026-08-01,2027-08-01,76500,quarterly,0,renewed,EMP-007
CON-00287,CLT-0288,2026-09-01,2027-09-01,76750,project,0,cancelled,EMP-008
CON-00288,CLT-0289,2026-01-01,2027-01-01,77000,annual,1,active,EMP-009
CON-00289,CLT-0290,2026-02-01,2027-02-01,77250,monthly,0,expiring,EMP-010
CON-00290,CLT-0291,2026-03-01,2027-03-01,77500,quarterly,0,renewed,EMP-011
CON-00291,CLT-0292,2026-04-01,2027-04-01,77750,project,1,cancelled,EMP-012
CON-00292,CLT-0293,2026-05-01,2027-05-01,78000,annual,0,active,EMP-013
CON-00293,CLT-0294,2026-06-01,2027-06-01,78250,monthly,0,expiring,EMP-014
CON-00294,CLT-0295,2026-07-01,2027-07-01,78500,quarterly,1,renewed,EMP-015
CON-00295,CLT-0296,2026-08-01,2027-08-01,78750,project,0,cancelled,EMP-016
CON-00296,CLT-0297,2026-09-01,2027-09-01,79000,annual,0,active,EMP-017
CON-00297,CLT-0298,2026-01-01,2027-01-01,79250,monthly,1,expiring,EMP-018
CON-00298,CLT-0299,2026-02-01,2027-02-01,79500,quarterly,0,renewed,EMP-019
CON-00299,CLT-0300,2026-03-01,2027-03-01,79750,project,0,cancelled,EMP-020
CON-00300,CLT-0301,2026-04-01,2027-04-01,80000,annual,1,active,EMP-001
CON-00301,CLT-0302,2026-05-01,2027-05-01,80250,monthly,0,expiring,EMP-002
CON-00302,CLT-0303,2026-06-01,2027-06-01,80500,quarterly,0,renewed,EMP-003
CON-00303,CLT-0304,2026-07-01,2027-07-01,80750,project,1,cancelled,EMP-004
CON-00304,CLT-0305,2026-08-01,2027-08-01,81000,annual,0,active,EMP-005
CON-00305,CLT-0306,2026-09-01,2027-09-01,81250,monthly,0,expiring,EMP-006
CON-00306,CLT-0307,2026-01-01,2027-01-01,81500,quarterly,1,renewed,EMP-007
CON-00307,CLT-0308,2026-02-01,2027-02-01,81750,project,0,cancelled,EMP-008
