service_id,service_name,category,duration_minutes,rate,technician_level,requires_inspection,seasonal
SRV-0039,Service Type 39,emergency,69,294.39,1,0,1
SRV-0040,Service Type 40,maintenance,70,299.40,2,1,0
SRV-0041,Service Type 41,repair,71,304.41,3,0,0
SRV-0042,Service Type 42,installation,72,309.42,1,1,1
SRV-0043,Service Type 43,inspection,73,314.43,2,0,0
SRV-0044,Service Type 44,emergency,74,319.44,3,1,0
SRV-0045,Service Type 45,maintenance,75,324.45,1,0,1
SRV-0046,Service Type 46,repair,76,329.46,2,1,0
SRV-0047,Service Type 47,installation,77,334.47,3,0,0
SRV-0048,Service Type 48,inspection,78,339.48,1,1,1
SRV-0049,Service Type 49,emergency,79,344.49,2,0,0
SRV-0050,Service Type 50,maintenance,80,349.50,3,1,0
SRV-0051,Service Type 51,repair,81,354.51,1,0,1
SRV-0052,Service Type 52,installation,82,359.52,2,1,0
SRV-0053,Service Type 53,inspection,83,364.53,3,0,0
SRV-0054,Service Type 54,emergency,84,369.54,1,1,1
SRV-0055,Service Type 55,maintenance,85,374.55,2,0,0
SRV-0056,Service Type 56,repair,86,379.56,3,1,0
SRV-0057,Service Type 57,installation,87,384.57,1,0,1
SRV-0058,Service Type 58,inspection,88,389.58,2,1,0
SRV-0059,Service Type 59,emergency,89,394.59,3,0,0
SRV-0060,Service Type 60,maintenance,90,399.60,1,1,1
SRV-0061,Service Type 61,repair,91,404.61,2,0,0
SRV-0062,Service Type 62,installation,92,409.62,3,1,0
SRV-0063,Service Type 63,inspection,93,414.63,1,0,1
SRV-0064,Service Type 64,emergency,94,419.64,2,1,0
SRV-0065,Service Type 65,maintenance,95,424.65,3,0,0
SRV-0066,Service Type 66,repair,96,429.66,1,1,1
SRV-0067,Service Type 67,installation,97,434.67,2,0,0
SRV-0068,Service Type 68,inspection,98,439.68,3,1,0
SRV-0069,Service Type 69,emergency,99,444.69,1,0,1
SRV-0070,Service Type 70,maintenance,100,449.70,2,1,0
SRV-0071,Service Type 71,repair,101,454.71,3,0,0
SRV-0072,Service Type 72,installation,102,459.72,1,1,1
SRV-0073,Service Type 73,inspection,103,464.73,2,0,0
SRV-0074,Service Type 74,emergency,104,469.74,3,1,0
SRV-0075,Service Type 75,maintenance,105,474.75,1,0,1
SRV-0076,Service Type 76,repair,106,479.76,2,1,0
SRV-0077,Service Type 77,installation,107,484.77,3,0,0
SRV-0078,Service Type 78,inspection,108,489.78,1,1,1
SRV-0079,Service Type 79,emergency,109,494.79,2,0,0
SRV-0080,Service Type 80,maintenance,110,499.80,3,1,0
SRV-0081,Service Type 81,repair,111,504.81,1,0,1
SRV-0082,Service Type 82,installation,112,509.82,2,1,0
SRV-0083,Service Type 83,inspection,113,514.83,3,0,0
SRV-0084,Service Type 84,emergency,114,519.84,1,1,1
SRV-0085,Service Type 85,maintenance,115,524.85,2,0,0
SRV-0086,Service Type 86,repair,116,529.86,3,1,0
SRV-0087,Service Type 87,installation,117,534.87,1,0,1
SRV-0088,Service Type 88,inspection,118,539.88,2,1,0
SRV-0089,Service Type 89,emergency,119,544.89,3,0,0
SRV-0090,Service Type 90,maintenance,120,549.90,1,1,1
SRV-0091,Service Type 91,repair,121,554.91,2,0,0
SRV-0092,Service Type 92,installation,122,559.92,3,1,0
SRV-0093,Service Type 93,inspection,123,564.93,1,0,1
SRV-0094,Service Type 94,emergency,124,569.94,2,1,0
SRV-0095,Service Type 95,maintenance,125,574.95,3,0,0
SRV-0096,Service Type 96,repair,126,579.96,1,1,1
SRV-0097,Service Type 97,installation,127,584.97,2,0,0
SRV-0098,Service Type 98,inspection,128,589.98,3,1,0
SRV-0099,Service Type 99,emergency,129,594.99,1,0,1
SRV-0100,Service Type 100,maintenance,130,99.0,2,1,0
SRV-0101,Service Type 101,repair,131,104.1,3,0,0
SRV-0102,Service Type 102,installation,132,109.2,1,1,1
SRV-0103,Service Type 103,inspection,133,114.3,2,0,0
SRV-0104,Service Type 104,emergency,134,119.4,3,1,0
SRV-0105,Service Type 105,maintenance,135,124.5,1,0,1
SRV-0106,Service Type 106,repair,136,129.6,2,1,0
SRV-0107,Service Type 107,installation,137,134.7,3,0,0
SRV-0108,Service Type 108,inspection,138,139.8,1,1,1
SRV-0109,Service Type 109,emergency,139,144.9,2,0,0
SRV-0110,Service Type 110,maintenance,140,149.10,3,1,0
SRV-0111,Service Type 111,repair,141,154.11,1,0,1
SRV-0112,Service Type 112,installation,142,159.12,2,1,0
SRV-0113,Service Type 113,inspection,143,164.13,3,0,0
SRV-0114,Service Type 114,emergency,144,169.14,1,1,1
SRV-0115,Service Type 115,maintenance,145,174.15,2,0,0
SRV-0116,Service Type 116,repair,146,179.16,3,1,0
SRV-0117,Service Type 117,installation,147,184.17,1,0,1
SRV-0118,Service Type 118,inspection,148,189.18,2,1,0
SRV-0119,Service Type 119,emergency,149,194.19,3,0,0
SRV-0120,Service Type 120,maintenance,150,199.20,1,1,1
SRV-0121,Service Type 121,repair,151,204.21,2,0,0
SRV-0122,Service Type 122,installation,152,209.22,3,1,0
SRV-0123,Service Type 123,inspection,153,214.23,1,0,1
SRV-0124,Service Type 124,emergency,154,219.24,2,1,0
SRV-0125,Service Type 125,maintenance,155,224.25,3,0,0
SRV-0126,Service Type 126,repair,156,229.26,1,1,1
SRV-0127,Service Type 127,installation,157,234.27,2,0,0
SRV-0128,Service Type 128,inspection,158,239.28,3,1,0
SRV-0129,Service Type 129,emergency,159,244.29,1,0,1
SRV-0130,Service Type 130,maintenance,160,249.30,2,1,0
SRV-0131,Service Type 131,repair,161,254.31,3,0,0
SRV-0132,Service Type 132,installation,162,259.32,1,1,1
SRV-0133,Service Type 133,inspection,163,264.33,2,0,0
SRV-0134,Service Type 134,emergency,164,269.34,3,1,0
SRV-0135,Service Type 135,maintenance,165,274.35,1,0,1
SRV-0136,Service Type 136,repair,166,279.36,2,1,0
SRV-0137,Service Type 137,installation,167,284.37,3,0,0
SRV-0138,Service Type 138,inspection,168,289.38,1,1,1
SRV-0139,Service Type 139,emergency,169,294.39,2,0,0
SRV-0140,Service Type 140,maintenance,170,299.40,3,1,0
SRV-0141,Service Type 141,repair,171,304.41,1,0,1
SRV-0142,Service Type 142,installation,172,309.42,2,1,0
SRV-0143,Service Type 143,inspection,173,314.43,3,0,0
SRV-0144,Service Type 144,emergency,174,319.44,1,1,1
SRV-0145,Service Type 145,maintenance,175,324.45,2,0,0
SRV-0146,Service Type 146,repair,176,329.46,3,1,0
SRV-0147,Service Type 147,installation,177,334.47,1,0,1
SRV-0148,Service Type 148,inspection,178,339.48,2,1,0
SRV-0149,Service Type 149,emergency,179,344.49,3,0,0
SRV-0150,Service Type 150,maintenance,180,349.50,1,1,1
SRV-0151,Service Type 151,repair,181,354.51,2,0,0
SRV-0152,Service Type 152,installation,182,359.52,3,1,0
SRV-0153,Service Type 153,inspection,183,364.53,1,0,1
SRV-0154,Service Type 154,emergency,184,369.54,2,1,0
SRV-0155,Service Type 155,maintenance,185,374.55,3,0,0
SRV-0156,Service Type 156,repair,186,379.56,1,1,1
SRV-0157,Service Type 157,installation,187,384.57,2,0,0
SRV-0158,Service Type 158,inspection,188,389.58,3,1,0
SRV-0159,Service Type 159,emergency,189,394.59,1,0,1
SRV-0160,Service Type 160,maintenance,190,399.60,2,1,0
SRV-0161,Service Type 161,repair,191,404.61,3,0,0
SRV-0162,Service Type 162,installation,192,409.62,1,1,1
SRV-0163,Service Type 163,inspection,193,414.63,2,0,0
SRV-0164,Service Type 164,emergency,194,419.64,3,1,0
SRV-0165,Service Type 165,maintenance,195,424.65,1,0,1
SRV-0166,Service Type 166,repair,196,429.66,2,1,0
SRV-0167,Service Type 167,installation,197,434.67,3,0,0
SRV-0168,Service Type 168,inspection,198,439.68,1,1,1
SRV-0169,Service Type 169,emergency,199,444.69,2,0,0
SRV-0170,Service Type 170,maintenance,200,449.70,3,1,0
SRV-0171,Service Type 171,repair,201,454.71,1,0,1
SRV-0172,Service Type 172,installation,202,459.72,2,1,0
SRV-0173,Service Type 173,inspection,203,464.73,3,0,0
SRV-0174,Service Type 174,emergency,204,469.74,1,1,1
SRV-0175,Service Type 175,maintenance,205,474.75,2,0,0
SRV-0176,Service Type 176,repair,206,479.76,3,1,0
SRV-0177,Service Type 177,installation,207,484.77,1,0,1
SRV-0178,Service Type 178,inspection,208,489.78,2,1,0
SRV-0179,Service Type 179,emergency,209,494.79,3,0,0
SRV-0180,Service Type 180,maintenance,30,499.80,1,1,1
SRV-0181,Service Type 181,repair,31,504.81,2,0,0
SRV-0182,Service Type 182,installation,32,509.82,3,1,0
SRV-0183,Service Type 183,inspection,33,514.83,1,0,1
SRV-0184,Service Type 184,emergency,34,519.84,2,1,0
SRV-0185,Service Type 185,maintenance,35,524.85,3,0,0
SRV-0186,Service Type 186,repair,36,529.86,1,1,1
SRV-0187,Service Type 187,installation,37,534.87,2,0,0
SRV-0188,Service Type 188,inspection,38,539.88,3,1,0
SRV-0189,Service Type 189,emergency,39,544.89,1,0,1
SRV-0190,Service Type 190,maintenance,40,549.90,2,1,0
SRV-0191,Service Type 191,repair,41,554.91,3,0,0
SRV-0192,Service Type 192,installation,42,559.92,1,1,1
SRV-0193,Service Type 193,inspection,43,564.93,2,0,0
SRV-0194,Service Type 194,emergency,44,569.94,3,1,0
SRV-0195,Service Type 195,maintenance,45,574.95,1,0,1
SRV-0196,Service Type 196,repair,46,579.96,2,1,0
SRV-0197,Service Type 197,installation,47,584.97,3,0,0
SRV-0198,Service Type 198,inspection,48,589.98,1,1,1
SRV-0199,Service Type 199,emergency,49,594.99,2,0,0
SRV-0200,Service Type 200,maintenance,50,99.0,3,1,0
SRV-0201,Service Type 201,repair,51,104.1,1,0,1
SRV-0202,Service Type 202,installation,52,109.2,2,1,0
SRV-0203,Service Type 203,inspection,53,114.3,3,0,0
SRV-0204,Service Type 204,emergency,54,119.4,1,1,1
SRV-0205,Service Type 205,maintenance,55,124.5,2,0,0
SRV-0206,Service Type 206,repair,56,129.6,3,1,0
SRV-0207,Service Type 207,installation,57,134.7,1,0,1
SRV-0208,Service Type 208,inspection,58,139.8,2,1,0
SRV-0209,Service Type 209,emergency,59,144.9,3,0,0
SRV-0210,Service Type 210,maintenance,60,149.10,1,1,1
SRV-0211,Service Type 211,repair,61,154.11,2,0,0
SRV-0212,Service Type 212,installation,62,159.12,3,1,0
SRV-0213,Service Type 213,inspection,63,164.13,1,0,1
SRV-0214,Service Type 214,emergency,64,169.14,2,1,0
SRV-0215,Service Type 215,maintenance,65,174.15,3,0,0
SRV-0216,Service Type 216,repair,66,179.16,1,1,1
SRV-0217,Service Type 217,installation,67,184.17,2,0,0
SRV-0218,Service Type 218,inspection,68,189.18,3,1,0
SRV-0219,Service Type 219,emergency,69,194.19,1,0,1
SRV-0220,Service Type 220,maintenance,70,199.20,2,1,0
SRV-0221,Service Type 221,repair,71,204.21,3,0,0
SRV-0222,Service Type 222,installation,72,209.22,1,1,1
SRV-0223,Service Type 223,inspection,73,214.23,2,0,0
SRV-0224,Service Type 224,emergency,74,219.24,3,1,0
SRV-0225,Service Type 225,maintenance,75,224.25,1,0,1
SRV-0226,Service Type 226,repair,76,229.26,2,1,0
SRV-0227,Service Type 227,installation,77,234.27,3,0,0
SRV-0228,Service Type 228,inspection,78,239.28,1,1,1
SRV-0229,Service Type 229,emergency,79,244.29,2,0,0
SRV-0230,Service Type 230,maintenance,80,249.30,3,1,0
SRV-0231,Service Type 231,repair,81,254.31,1,0,1
SRV-0232,Service Type 232,installation,82,259.32,2,1,0
SRV-0233,Service Type 233,inspection,83,264.33,3,0,0
SRV-0234,Service Type 234,emergency,84,269.34,1,1,1
SRV-0235,Service Type 235,maintenance,85,274.35,2,0,0
SRV-0236,Service Type 236,repair,86,279.36,3,1,0
SRV-0237,Service Type 237,installation,87,284.37,1,0,1
SRV-0238,Service Type 238,inspection,88,289.38,2,1,0
SRV-0239,Service Type 239,emergency,89,294.39,3,0,0
SRV-0240,Service Type 240,maintenance,90,299.40,1,1,1
SRV-0241,Service Type 241,repair,91,304.41,2,0,0
SRV-0242,Service Type 242,installation,92,309.42,3,1,0
SRV-0243,Service Type 243,inspection,93,314.43,1,0,1
SRV-0244,Service Type 244,emergency,94,319.44,2,1,0
SRV-0245,Service Type 245,maintenance,95,324.45,3,0,0
SRV-0246,Service Type 246,repair,96,329.46,1,1,1
SRV-0247,Service Type 247,installation,97,334.47,2,0,0
SRV-0248,Service Type 248,inspection,98,339.48,3,1,0
SRV-0249,Service Type 249,emergency,99,344.49,1,0,1
SRV-0250,Service Type 250,maintenance,100,349.50,2,1,0
SRV-0251,Service Type 251,repair,101,354.51,3,0,0
SRV-0252,Service Type 252,installation,102,359.52,1,1,1
SRV-0253,Service Type 253,inspection,103,364.53,2,0,0
SRV-0254,Service Type 254,emergency,104,369.54,3,1,0
SRV-0255,Service Type 255,maintenance,105,374.55,1,0,1
SRV-0256,Service Type 256,repair,106,379.56,2,1,0
SRV-0257,Service Type 257,installation,107,384.57,3,0,0
SRV-0258,Service Type 258,inspection,108,389.58,1,1,1
SRV-0259,Service Type 259,emergency,109,394.59,2,0,0
SRV-0260,Service Type 260,maintenance,110,399.60,3,1,0
SRV-0261,Service Type 261,repair,111,404.61,1,0,1
SRV-0262,Service Type 262,installation,112,409.62,2,1,0
SRV-0263,Service Type 263,inspection,113,414.63,3,0,0
SRV-0264,Service Type 264,emergency,114,419.64,1,1,1
SRV-0265,Service Type 265,maintenance,115,424.65,2,0,0
SRV-0266,Service Type 266,repair,116,429.66,3,1,0
SRV-0267,Service Type 267,installation,117,434.67,1,0,1
SRV-0268,Service Type 268,inspection,118,439.68,2,1,0
SRV-0269,Service Type 269,emergency,119,444.69,3,0,0
SRV-0270,Service Type 270,maintenance,120,449.70,1,1,1
SRV-0271,Service Type 271,repair,121,454.71,2,0,0
SRV-0272,Service Type 272,installation,122,459.72,3,1,0
SRV-0273,Service Type 273,inspection,123,464.73,1,0,1
SRV-0274,Service Type 274,emergency,124,469.74,2,1,0
SRV-0275,Service Type 275,maintenance,125,474.75,3,0,0
SRV-0276,Service Type 276,repair,126,479.76,1,1,1
SRV-0277,Service Type 277,installation,127,484.77,2,0,0
SRV-0278,Service Type 278,inspection,128,489.78,3,1,0
SRV-0279,Service Type 279,emergency,129,494.79,1,0,1
SRV-0280,Service Type 280,maintenance,130,499.80,2,1,0
SRV-0281,Service Type 281,repair,131,504.81,3,0,0
SRV-0282,Service Type 282,installation,132,509.82,1,1,1
SRV-0283,Service Type 283,inspection,133,514.83,2,0,0
SRV-0284,Service Type 284,emergency,134,519.84,3,1,0
SRV-0285,Service Type 285,maintenance,135,524.85,1,0,1
SRV-0286,Service Type 286,repair,136,529.86,2,1,0
SRV-0287,Service Type 287,installation,137,534.87,3,0,0
SRV-0288,Service Type 288,inspection,138,539.88,1,1,1
SRV-0289,Service Type 289,emergency,139,544.89,2,0,0
SRV-0290,Service Type 290,maintenance,140,549.90,3,1,0
SRV-0291,Service Type 291,repair,141,554.91,1,0,1
SRV-0292,Service Type 292,installation,142,559.92,2,1,0
SRV-0293,Service Type 293,inspection,143,564.93,3,0,0
SRV-0294,Service Type 294,emergency,144,569.94,1,1,1
SRV-0295,Service Type 295,maintenance,145,574.95,2,0,0
SRV-0296,Service Type 296,repair,146,579.96,3,1,0
SRV-0297,Service Type 297,installation,147,584.97,1,0,1
SRV-0298,Service Type 298,inspection,148,589.98,2,1,0
SRV-0299,Service Type 299,emergency,149,594.99,3,0,0
SRV-0300,Service Type 300,maintenance,150,99.0,1,1,1
SRV-0301,Service Type 301,repair,151,104.1,2,0,0
SRV-0302,Service Type 302,installation,152,109.2,3,1,0
SRV-0303,Service Type 303,inspection,153,114.3,1,0,1
SRV-0304,Service Type 304,emergency,154,119.4,2,1,0
SRV-0305,Service Type 305,maintenance,155,124.5,3,0,0
SRV-0306,Service Type 306,repair,156,129.6,1,1,1
SRV-0307,Service Type 307,installation,157,134.7,2,0,0
SRV-0308,Service Type 308,inspection,158,139.8,3,1,0
SRV-0309,Service Type 309,emergency,159,144.9,1,0,1
SRV-0310,Service Type 310,maintenance,160,149.10,2,1,0
SRV-0311,Service Type 311,repair,161,154.11,3,0,0
SRV-0312,Service Type 312,installation,162,159.12,1,1,1
SRV-0313,Service Type 313,inspection,163,164.13,2,0,0
SRV-0314,Service Type 314,emergency,164,169.14,3,1,0
SRV-0315,Service Type 315,maintenance,165,174.15,1,0,1
SRV-0316,Service Type 316,repair,166,179.16,2,1,0
SRV-0317,Service Type 317,installation,167,184.17,3,0,0
SRV-0318,Service Type 318,inspection,168,189.18,1,1,1
SRV-0319,Service Type 319,emergency,169,194.19,2,0,0
SRV-0320,Service Type 320,maintenance,170,199.20,3,1,0
SRV-0321,Service Type 321,repair,171,204.21,1,0,1
SRV-0322,Service Type 322,installation,172,209.22,2,1,0
SRV-0323,Service Type 323,inspection,173,214.23,3,0,0
SRV-0324,Service Type 324,emergency,174,219.24,1,1,1
SRV-0325,Service Type 325,maintenance,175,224.25,2,0,0
SRV-0326,Service Type 326,repair,176,229.26,3,1,0
SRV-0327,Service Type 327,installation,177,234.27,1,0,1
SRV-0328,Service Type 328,inspection,178,239.28,2,1,0
SRV-0329,Service Type 329,emergency,179,244.29,3,0,0
SRV-0330,Service Type 330,maintenance,180,249.30,1,1,1
SRV-0331,Service Type 331,repair,181,254.31,2,0,0
SRV-0332,Service Type 332,installation,182,259.32,3,1,0
SRV-0333,Service Type 333,inspection,183,264.33,1,0,1
SRV-0334,Service Type 334,emergency,184,269.34,2,1,0
SRV-0335,Service Type 335,maintenance,185,274.35,3,0,0
SRV-0336,Service Type 336,repair,186,279.36,1,1,1
SRV-0337,Service Type 337,installation,187,284.37,2,0,0
SRV-0338,Service Type 338,inspection,188,289.38,3,1,0
SRV-0339,Service Type 339,emergency,189,294.39,1,0,1
SRV-0340,Service Type 340,maintenance,190,299.40,2,1,0
SRV-0341,Service Type 341,repair,191,304.41,3,0,0
SRV-0342,Service Type 342,installation,192,309.42,1,1,1
SRV-0343,Service Type 343,inspection,193,314.43,2,0,0
SRV-0344,Service Type 344,emergency,194,319.44,3,1,0
SRV-0345,Service Type 345,maintenance,195,324.45,1,0,1
SRV-0346,Service Type 346,repair,196,329.46,2,1,0
SRV-0347,Service Type 347,installation,197,334.47,3,0,0
SRV-0348,Service Type 348,inspection,198,339.48,1,1,1
SRV-0349,Service Type 349,emergency,199,344.49,2,0,0
SRV-0350,Service Type 350,maintenance,200,349.50,3,1,0
SRV-0351,Service Type 351,repair,201,354.51,1,0,1
SRV-0352,Service Type 352,installation,202,359.52,2,1,0
SRV-0353,Service Type 353,inspection,203,364.53,3,0,0
SRV-0354,Service Type 354,emergency,204,369.54,1,1,1
SRV-0355,Service Type 355,maintenance,205,374.55,2,0,0
SRV-0356,Service Type 356,repair,206,379.56,3,1,0
SRV-0357,Service Type 357,installation,207,384.57,1,0,1
SRV-0358,Service Type 358,inspection,208,389.58,2,1,0
SRV-0359,Service Type 359,emergency,209,394.59,3,0,0
SRV-0360,Service Type 360,maintenance,30,399.60,1,1,1
SRV-0361,Service Type 361,repair,31,404.61,2,0,0
SRV-0362,Service Type 362,installation,32,409.62,3,1,0
SRV-0363,Service Type 363,inspection,33,414.63,1,0,1
SRV-0364,Service Type 364,emergency,34,419.64,2,1,0
SRV-0365,Service Type 365,maintenance,35,424.65,3,0,0
SRV-0366,Service Type 366,repair,36,429.66,1,1,1
SRV-0367,Service Type 367,installation,37,434.67,2,0,0
SRV-0368,Service Type 368,inspection,38,439.68,3,1,0
SRV-0369,Service Type 369,emergency,39,444.69,1,0,1
SRV-0370,Service Type 370,maintenance,40,449.70,2,1,0
SRV-0371,Service Type 371,repair,41,454.71,3,0,0
SRV-0372,Service Type 372,installation,42,459.72,1,1,1
SRV-0373,Service Type 373,inspection,43,464.73,2,0,0
SRV-0374,Service Type 374,emergency,44,469.74,3,1,0
SRV-0375,Service Type 375,maintenance,45,474.75,1,0,1
SRV-0376,Service Type 376,repair,46,479.76,2,1,0
SRV-0377,Service Type 377,installation,47,484.77,3,0,0
SRV-0378,Service Type 378,inspection,48,489.78,1,1,1
SRV-0379,Service Type 379,emergency,49,494.79,2,0,0
SRV-0380,Service Type 380,maintenance,50,499.80,3,1,0
SRV-0381,Service Type 381,repair,51,504.81,1,0,1
SRV-0382,Service Type 382,installation,52,509.82,2,1,0
SRV-0383,Service Type 383,inspection,53,514.83,3,0,0
SRV-0384,Service Type 384,emergency,54,519.84,1,1,1
SRV-0385,Service Type 385,maintenance,55,524.85,2,0,0
SRV-0386,Service Type 386,repair,56,529.86,3,1,0
SRV-0387,Service Type 387,installation,57,534.87,1,0,1
SRV-0388,Service Type 388,inspection,58,539.88,2,1,0
SRV-0389,Service Type 389,emergency,59,544.89,3,0,0
SRV-0390,Service Type 390,maintenance,60,549.90,1,1,1
SRV-0391,Service Type 391,repair,61,554.91,2,0,0
SRV-0392,Service Type 392,installation,62,559.92,3,1,0
SRV-0393,Service Type 393,inspection,63,564.93,1,0,1
SRV-0394,Service Type 394,emergency,64,569.94,2,1,0
SRV-0395,Service Type 395,maintenance,65,574.95,3,0,0
SRV-0396,Service Type 396,repair,66,579.96,1,1,1
SRV-0397,Service Type 397,installation,67,584.97,2,0,0
SRV-0398,Service Type 398,inspection,68,589.98,3,1,0
SRV-0399,Service Type 399,emergency,69,594.99,1,0,1
SRV-0400,Service Type 400,maintenance,70,99.0,2,1,0
SRV-0401,Service Type 401,repair,71,104.1,3,0,0
SRV-0402,Service Type 402,installation,72,109.2,1,1,1
SRV-0403,Service Type 403,inspection,73,114.3,2,0,0
SRV-0404,Service Type 404,emergency,74,119.4,3,1,0
SRV-0405,Service Type 405,maintenance,75,124.5,1,0,1
SRV-0406,Service Type 406,repair,76,129.6,2,1,0
SRV-0407,Service Type 407,installation,77,134.7,3,0,0
SRV-0408,Service Type 408,inspection,78,139.8,1,1,1
SRV-0409,Service Type 409,emergency,79,144.9,2,0,0
SRV-0410,Service Type 410,maintenance,80,149.10,3,1,0
SRV-0411,Service Type 411,repair,81,154.11,1,0,1
SRV-0412,Service Type 412,installation,82,159.12,2,1,0
SRV-0413,Service Type 413,inspection,83,164.13,3,0,0
SRV-0414,Service Type 414,emergency,84,169.14,1,1,1
SRV-0415,Service Type 415,maintenance,85,174.15,2,0,0
SRV-0416,Service Type 416,repair,86,179.16,3,1,0
SRV-0417,Service Type 417,installation,87,184.17,1,0,1
SRV-0418,Service Type 418,inspection,88,189.18,2,1,0
SRV-0419,Service Type 419,emergency,89,194.19,3,0,0
SRV-0420,Service Type 420,maintenance,90,199.20,1,1,1
SRV-0421,Service Type 421,repair,91,204.21,2,0,0
SRV-0422,Service Type 422,installation,92,209.22,3,1,0
SRV-0423,Service Type 423,inspection,93,214.23,1,0,1
SRV-0424,Service Type 424,emergency,94,219.24,2,1,0
SRV-0425,Service Type 425,maintenance,95,224.25,3,0,0
SRV-0426,Service Type 426,repair,96,229.26,1,1,1
SRV-0427,Service Type 427,installation,97,234.27,2,0,0
SRV-0428,Service Type 428,inspection,98,239.28,3,1,0
SRV-0429,Service Type 429,emergency,99,244.29,1,0,1
SRV-0430,Service Type 430,maintenance,100,249.30,2,1,0
SRV-0431,Service Type 431,repair,101,254.31,3,0,0
SRV-0432,Service Type 432,installation,102,259.32,1,1,1
SRV-0433,Service Type 433,inspection,103,264.33,2,0,0
SRV-0434,Service Type 434,emergency,104,269.34,3,1,0
SRV-0435,Service Type 435,maintenance,105,274.35,1,0,1
SRV-0436,Service Type 436,repair,106,279.36,2,1,0
SRV-0437,Service Type 437,installation,107,284.37,3,0,0
SRV-0438,Service Type 438,inspection,108,289.38,1,1,1
SRV-0439,Service Type 439,emergency,109,294.39,2,0,0
SRV-0440,Service Type 440,maintenance,110,299.40,3,1,0
SRV-0441,Service Type 441,repair,111,304.41,1,0,1
SRV-0442,Service Type 442,installation,112,309.42,2,1,0
SRV-0443,Service Type 443,inspection,113,314.43,3,0,0
SRV-0444,Service Type 444,emergency,114,319.44,1,1,1
SRV-0445,Service Type 445,maintenance,115,324.45,2,0,0
SRV-0446,Service Type 446,repair,116,329.46,3,1,0
SRV-0447,Service Type 447,installation,117,334.47,1,0,1
SRV-0448,Service Type 448,inspection,118,339.48,2,1,0
SRV-0449,Service Type 449,emergency,119,344.49,3,0,0
SRV-0450,Service Type 450,maintenance,120,349.50,1,1,1
SRV-0451,Service Type 451,repair,121,354.51,2,0,0
SRV-0452,Service Type 452,installation,122,359.52,3,1,0
SRV-0453,Service Type 453,inspection,123,364.53,1,0,1
SRV-0454,Service Type 454,emergency,124,369.54,2,1,0
SRV-0455,Service Type 455,maintenance,125,374.55,3,0,0
SRV-0456,Service Type 456,repair,126,379.56,1,1,1
SRV-0457,Service Type 457,installation,127,384.57,2,0,0
SRV-0458,Service Type 458,inspection,128,389.58,3,1,0
SRV-0459,Service Type 459,emergency,129,394.59,1,0,1
SRV-0460,Service Type 460,maintenance,130,399.60,2,1,0
SRV-0461,Service Type 461,repair,131,404.61,3,0,0
SRV-0462,Service Type 462,installation,132,409.62,1,1,1
SRV-0463,Service Type 463,inspection,133,414.63,2,0,0
SRV-0464,Service Type 464,emergency,134,419.64,3,1,0
SRV-0465,Service Type 465,maintenance,135,424.65,1,0,1
SRV-0466,Service Type 466,repair,136,429.66,2,1,0
SRV-0467,Service Type 467,installation,137,434.67,3,0,0
