asset_id,name,serial_number,purchase_date,warranty_expiry,last_service,next_service,status,assigned_to,location
AST-00069,Equipment 69,SN-00000069,2026-07-14,20211-07-14,2026-07-14,2026-10-14,maintenance,EMP-020,Building 5 Room 10
AST-00070,Equipment 70,SN-00000070,2020-08-15,2027-08-15,2026-08-15,2026-11-15,retired,EMP-021,Building 1 Room 11
AST-00071,Equipment 71,SN-00000071,2021-09-16,2028-09-16,2026-09-16,2026-12-16,standby,EMP-022,Building 2 Room 12
AST-00072,Equipment 72,SN-00000072,2022-01-17,2029-01-17,2026-01-17,2026-7-17,active,EMP-023,Building 3 Room 13
AST-00073,Equipment 73,SN-00000073,2023-02-18,20210-02-18,2026-02-18,2026-8-18,maintenance,EMP-024,Building 4 Room 14
AST-00074,Equipment 74,SN-00000074,2024-03-19,20211-03-19,2026-03-19,2026-9-19,retired,EMP-025,Building 5 Room 15
AST-00075,Equipment 75,SN-00000075,2025-04-20,2027-04-20,2026-04-20,2026-10-20,standby,EMP-026,Building 1 Room 16
AST-00076,Equipment 76,SN-00000076,2026-05-21,2028-05-21,2026-05-21,2026-11-21,active,EMP-027,Building 2 Room 17
AST-00077,Equipment 77,SN-00000077,2020-06-22,2029-06-22,2026-06-22,2026-12-22,maintenance,EMP-028,Building 3 Room 18
AST-00078,Equipment 78,SN-00000078,2021-07-23,20210-07-23,2026-07-23,2026-7-23,retired,EMP-029,Building 4 Room 19
AST-00079,Equipment 79,SN-00000079,2022-08-24,20211-08-24,2026-08-24,2026-8-24,standby,EMP-030,Building 5 Room 20
AST-00080,Equipment 80,SN-00000080,2023-09-25,2027-09-25,2026-09-25,2026-9-25,active,EMP-031,Building 1 Room 1
AST-00081,Equipment 81,SN-00000081,2024-01-26,2028-01-26,2026-01-26,2026-10-26,maintenance,EMP-032,Building 2 Room 2
AST-00082,Equipment 82,SN-00000082,2025-02-27,2029-02-27,2026-02-27,2026-11-27,retired,EMP-033,Building 3 Room 3
AST-00083,Equipment 83,SN-00000083,2026-03-28,20210-03-28,2026-03-28,2026-12-28,standby,EMP-034,Building 4 Room 4
AST-00084,Equipment 84,SN-00000084,2020-04-01,20211-04-01,2026-04-01,2026-7-01,active,EMP-035,Building 5 Room 5
AST-00085,Equipment 85,SN-00000085,2021-05-02,2027-05-02,2026-05-02,2026-8-02,maintenance,EMP-036,Building 1 Room 6
AST-00086,Equipment 86,SN-00000086,2022-06-03,2028-06-03,2026-06-03,2026-9-03,retired,EMP-037,Building 2 Room 7
AST-00087,Equipment 87,SN-00000087,2023-07-04,2029-07-04,2026-07-04,2026-10-04,standby,EMP-038,Building 3 Room 8
AST-00088,Equipment 88,SN-00000088,2024-08-05,20210-08-05,2026-08-05,2026-11-05,active,EMP-039,Building 4 Room 9
AST-00089,Equipment 89,SN-00000089,2025-09-06,20211-09-06,2026-09-06,2026-12-06,maintenance,EMP-040,Building 5 Room 10
AST-00090,Equipment 90,SN-00000090,2026-01-07,2027-01-07,2026-01-07,2026-7-07,retired,EMP-041,Building 1 Room 11
AST-00091,Equipment 91,SN-00000091,2020-02-08,2028-02-08,2026-02-08,2026-8-08,standby,EMP-042,Building 2 Room 12
AST-00092,Equipment 92,SN-00000092,2021-03-09,2029-03-09,2026-03-09,2026-9-09,active,EMP-043,Building 3 Room 13
AST-00093,Equipment 93,SN-00000093,2022-04-10,20210-04-10,2026-04-10,2026-10-10,maintenance,EMP-044,Building 4 Room 14
AST-00094,Equipment 94,SN-00000094,2023-05-11,20211-05-11,2026-05-11,2026-11-11,retired,EMP-045,Building 5 Room 15
AST-00095,Equipment 95,SN-00000095,2024-06-12,2027-06-12,2026-06-12,2026-12-12,standby,EMP-046,Building 1 Room 16
AST-00096,Equipment 96,SN-00000096,2025-07-13,2028-07-13,2026-07-13,2026-7-13,active,EMP-047,Building 2 Room 17
AST-00097,Equipment 97,SN-00000097,2026-08-14,2029-08-14,2026-08-14,2026-8-14,maintenance,EMP-048,Building 3 Room 18
AST-00098,Equipment 98,SN-00000098,2020-09-15,20210-09-15,2026-09-15,2026-9-15,retired,EMP-049,Building 4 Room 19
AST-00099,Equipment 99,SN-00000099,2021-01-16,20211-01-16,2026-01-16,2026-10-16,standby,EMP-050,Building 5 Room 20
AST-00100,Equipment 100,SN-00000100,2022-02-17,2027-02-17,2026-02-17,2026-11-17,active,EMP-001,Building 1 Room 1
AST-00101,Equipment 101,SN-00000101,2023-03-18,2028-03-18,2026-03-18,2026-12-18,maintenance,EMP-002,Building 2 Room 2
AST-00102,Equipment 102,SN-00000102,2024-04-19,2029-04-19,2026-04-19,2026-7-19,retired,EMP-003,Building 3 Room 3
AST-00103,Equipment 103,SN-00000103,2025-05-20,20210-05-20,2026-05-20,2026-8-20,standby,EMP-004,Building 4 Room 4
AST-00104,Equipment 104,SN-00000104,2026-06-21,20211-06-21,2026-06-21,2026-9-21,active,EMP-005,Building 5 Room 5
AST-00105,Equipment 105,SN-00000105,2020-07-22,2027-07-22,2026-07-22,2026-10-22,maintenance,EMP-006,Building 1 Room 6
AST-00106,Equipment 106,SN-00000106,2021-08-23,2028-08-23,2026-08-23,2026-11-23,retired,EMP-007,Building 2 Room 7
AST-00107,Equipment 107,SN-00000107,2022-09-24,2029-09-24,2026-09-24,2026-12-24,standby,EMP-008,Building 3 Room 8
AST-00108,Equipment 108,SN-00000108,2023-01-25,20210-01-25,2026-01-25,2026-7-25,active,EMP-009,Building 4 Room 9
AST-00109,Equipment 109,SN-00000109,2024-02-26,20211-02-26,2026-02-26,2026-8-26,maintenance,EMP-010,Building 5 Room 10
AST-00110,Equipment 110,SN-00000110,2025-03-27,2027-03-27,2026-03-27,2026-9-27,retired,EMP-011,Building 1 Room 11
AST-00111,Equipment 111,SN-00000111,2026-04-28,2028-04-28,2026-04-28,2026-10-28,standby,EMP-012,Building 2 Room 12
AST-00112,Equipment 112,SN-00000112,2020-05-01,2029-05-01,2026-05-01,2026-11-01,active,EMP-013,Building 3 Room 13
AST-00113,Equipment 113,SN-00000113,2021-06-02,20210-06-02,2026-06-02,2026-12-02,maintenance,EMP-014,Building 4 Room 14
AST-00114,Equipment 114,SN-00000114,2022-07-03,20211-07-03,2026-07-03,2026-7-03,retired,EMP-015,Building 5 Room 15
AST-00115,Equipment 115,SN-00000115,2023-08-04,2027-08-04,2026-08-04,2026-8-04,standby,EMP-016,Building 1 Room 16
AST-00116,Equipment 116,SN-00000116,2024-09-05,2028-09-05,2026-09-05,2026-9-05,active,EMP-017,Building 2 Room 17
AST-00117,Equipment 117,SN-00000117,2025-01-06,2029-01-06,2026-01-06,2026-10-06,maintenance,EMP-018,Building 3 Room 18
AST-00118,Equipment 118,SN-00000118,2026-02-07,20210-02-07,2026-02-07,2026-11-07,retired,EMP-019,Building 4 Room 19
AST-00119,Equipment 119,SN-00000119,2020-03-08,20211-03-08,2026-03-08,2026-12-08,standby,EMP-020,Building 5 Room 20
AST-00120,Equipment 120,SN-00000120,2021-04-09,2027-04-09,2026-04-09,2026-7-09,active,EMP-021,Building 1 Room 1
AST-00121,Equipment 121,SN-00000121,2022-05-10,2028-05-10,2026-05-10,2026-8-10,maintenance,EMP-022,Building 2 Room 2
AST-00122,Equipment 122,SN-00000122,2023-06-11,2029-06-11,2026-06-11,2026-9-11,retired,EMP-023,Building 3 Room 3
AST-00123,Equipment 123,SN-00000123,2024-07-12,20210-07-12,2026-07-12,2026-10-12,standby,EMP-024,Building 4 Room 4
AST-00124,Equipment 124,SN-00000124,2025-08-13,20211-08-13,2026-08-13,2026-11-13,active,EMP-025,Building 5 Room 5
AST-00125,Equipment 125,SN-00000125,2026-09-14,2027-09-14,2026-09-14,2026-12-14,maintenance,EMP-026,Building 1 Room 6
AST-00126,Equipment 126,SN-00000126,2020-01-15,2028-01-15,2026-01-15,2026-7-15,retired,EMP-027,Building 2 Room 7
AST-00127,Equipment 127,SN-00000127,2021-02-16,2029-02-16,2026-02-16,2026-8-16,standby,EMP-028,Building 3 Room 8
AST-00128,Equipment 128,SN-00000128,2022-03-17,20210-03-17,2026-03-17,2026-9-17,active,EMP-029,Building 4 Room 9
AST-00129,Equipment 129,SN-00000129,2023-04-18,20211-04-18,2026-04-18,2026-10-18,maintenance,EMP-030,Building 5 Room 10
AST-00130,Equipment 130,SN-00000130,2024-05-19,2027-05-19,2026-05-19,2026-11-19,retired,EMP-031,Building 1 Room 11
AST-00131,Equipment 131,SN-00000131,2025-06-20,2028-06-20,2026-06-20,2026-12-20,standby,EMP-032,Building 2 Room 12
AST-00132,Equipment 132,SN-00000132,2026-07-21,2029-07-21,2026-07-21,2026-7-21,active,EMP-033,Building 3 Room 13
AST-00133,Equipment 133,SN-00000133,2020-08-22,20210-08-22,2026-08-22,2026-8-22,maintenance,EMP-034,Building 4 Room 14
AST-00134,Equipment 134,SN-00000134,2021-09-23,20211-09-23,2026-09-23,2026-9-23,retired,EMP-035,Building 5 Room 15
AST-00135,Equipment 135,SN-00000135,2022-01-24,2027-01-24,2026-01-24,2026-10-24,standby,EMP-036,Building 1 Room 16
AST-00136,Equipment 136,SN-00000136,2023-02-25,2028-02-25,2026-02-25,2026-11-25,active,EMP-037,Building 2 Room 17
AST-00137,Equipment 137,SN-00000137,2024-03-26,2029-03-26,2026-03-26,2026-12-26,maintenance,EMP-038,Building 3 Room 18
AST-00138,Equipment 138,SN-00000138,2025-04-27,20210-04-27,2026-04-27,2026-7-27,retired,EMP-039,Building 4 Room 19
AST-00139,Equipment 139,SN-00000139,2026-05-28,20211-05-28,2026-05-28,2026-8-28,standby,EMP-040,Building 5 Room 20
AST-00140,Equipment 140,SN-00000140,2020-06-01,2027-06-01,2026-06-01,2026-9-01,active,EMP-041,Building 1 Room 1
AST-00141,Equipment 141,SN-00000141,2021-07-02,2028-07-02,2026-07-02,2026-10-02,maintenance,EMP-042,Building 2 Room 2
AST-00142,Equipment 142,SN-00000142,2022-08-03,2029-08-03,2026-08-03,2026-11-03,retired,EMP-043,Building 3 Room 3
AST-00143,Equipment 143,SN-00000143,2023-09-04,20210-09-04,2026-09-04,2026-12-04,standby,EMP-044,Building 4 Room 4
AST-00144,Equipment 144,SN-00000144,2024-01-05,20211-01-05,2026-01-05,2026-7-05,active,EMP-045,Building 5 Room 5
AST-00145,Equipment 145,SN-00000145,2025-02-06,2027-02-06,2026-02-06,2026-8-06,maintenance,EMP-046,Building 1 Room 6
AST-00146,Equipment 146,SN-00000146,2026-03-07,2028-03-07,2026-03-07,2026-9-07,retired,EMP-047,Building 2 Room 7
AST-00147,Equipment 147,SN-00000147,2020-04-08,2029-04-08,2026-04-08,2026-10-08,standby,EMP-048,Building 3 Room 8
AST-00148,Equipment 148,SN-00000148,2021-05-09,20210-05-09,2026-05-09,2026-11-09,active,EMP-049,Building 4 Room 9
AST-00149,Equipment 149,SN-00000149,2022-06-10,20211-06-10,2026-06-10,2026-12-10,maintenance,EMP-050,Building 5 Room 10
AST-00150,Equipment 150,SN-00000150,2023-07-11,2027-07-11,2026-07-11,2026-7-11,retired,EMP-001,Building 1 Room 11
AST-00151,Equipment 151,SN-00000151,2024-08-12,2028-08-12,2026-08-12,2026-8-12,standby,EMP-002,Building 2 Room 12
AST-00152,Equipment 152,SN-00000152,2025-09-13,2029-09-13,2026-09-13,2026-9-13,active,EMP-003,Building 3 Room 13
AST-00153,Equipment 153,SN-00000153,2026-01-14,20210-01-14,2026-01-14,2026-10-14,maintenance,EMP-004,Building 4 Room 14
AST-00154,Equipment 154,SN-00000154,2020-02-15,20211-02-15,2026-02-15,2026-11-15,retired,EMP-005,Building 5 Room 15
AST-00155,Equipment 155,SN-00000155,2021-03-16,2027-03-16,2026-03-16,2026-12-16,standby,EMP-006,Building 1 Room 16
AST-00156,Equipment 156,SN-00000156,2022-04-17,2028-04-17,2026-04-17,2026-7-17,active,EMP-007,Building 2 Room 17
AST-00157,Equipment 157,SN-00000157,2023-05-18,2029-05-18,2026-05-18,2026-8-18,maintenance,EMP-008,Building 3 Room 18
AST-00158,Equipment 158,SN-00000158,2024-06-19,20210-06-19,2026-06-19,2026-9-19,retired,EMP-009,Building 4 Room 19
AST-00159,Equipment 159,SN-00000159,2025-07-20,20211-07-20,2026-07-20,2026-10-20,standby,EMP-010,Building 5 Room 20
AST-00160,Equipment 160,SN-00000160,2026-08-21,2027-08-21,2026-08-21,2026-11-21,active,EMP-011,Building 1 Room 1
AST-00161,Equipment 161,SN-00000161,2020-09-22,2028-09-22,2026-09-22,2026-12-22,maintenance,EMP-012,Building 2 Room 2
AST-00162,Equipment 162,SN-00000162,2021-01-23,2029-01-23,2026-01-23,2026-7-23,retired,EMP-013,Building 3 Room 3
AST-00163,Equipment 163,SN-00000163,2022-02-24,20210-02-24,2026-02-24,2026-8-24,standby,EMP-014,Building 4 Room 4
AST-00164,Equipment 164,SN-00000164,2023-03-25,20211-03-25,2026-03-25,2026-9-25,active,EMP-015,Building 5 Room 5
AST-00165,Equipment 165,SN-00000165,2024-04-26,2027-04-26,2026-04-26,2026-10-26,maintenance,EMP-016,Building 1 Room 6
AST-00166,Equipment 166,SN-00000166,2025-05-27,2028-05-27,2026-05-27,2026-11-27,retired,EMP-017,Building 2 Room 7
AST-00167,Equipment 167,SN-00000167,2026-06-28,2029-06-28,2026-06-28,2026-12-28,standby,EMP-018,Building 3 Room 8
AST-00168,Equipment 168,SN-00000168,2020-07-01,20210-07-01,2026-07-01,2026-7-01,active,EMP-019,Building 4 Room 9
AST-00169,Equipment 169,SN-00000169,2021-08-02,20211-08-02,2026-08-02,2026-8-02,maintenance,EMP-020,Building 5 Room 10
AST-00170,Equipment 170,SN-00000170,2022-09-03,2027-09-03,2026-09-03,2026-9-03,retired,EMP-021,Building 1 Room 11
AST-00171,Equipment 171,SN-00000171,2023-01-04,2028-01-04,2026-01-04,2026-10-04,standby,EMP-022,Building 2 Room 12
AST-00172,Equipment 172,SN-00000172,2024-02-05,2029-02-05,2026-02-05,2026-11-05,active,EMP-023,Building 3 Room 13
AST-00173,Equipment 173,SN-00000173,2025-03-06,20210-03-06,2026-03-06,2026-12-06,maintenance,EMP-024,Building 4 Room 14
AST-00174,Equipment 174,SN-00000174,2026-04-07,20211-04-07,2026-04-07,2026-7-07,retired,EMP-025,Building 5 Room 15
AST-00175,Equipment 175,SN-00000175,2020-05-08,2027-05-08,2026-05-08,2026-8-08,standby,EMP-026,Building 1 Room 16
AST-00176,Equipment 176,SN-00000176,2021-06-09,2028-06-09,2026-06-09,2026-9-09,active,EMP-027,Building 2 Room 17
AST-00177,Equipment 177,SN-00000177,2022-07-10,2029-07-10,2026-07-10,2026-10-10,maintenance,EMP-028,Building 3 Room 18
AST-00178,Equipment 178,SN-00000178,2023-08-11,20210-08-11,2026-08-11,2026-11-11,retired,EMP-029,Building 4 Room 19
AST-00179,Equipment 179,SN-00000179,2024-09-12,20211-09-12,2026-09-12,2026-12-12,standby,EMP-030,Building 5 Room 20
AST-00180,Equipment 180,SN-00000180,2025-01-13,2027-01-13,2026-01-13,2026-7-13,active,EMP-031,Building 1 Room 1
AST-00181,Equipment 181,SN-00000181,2026-02-14,2028-02-14,2026-02-14,2026-8-14,maintenance,EMP-032,Building 2 Room 2
AST-00182,Equipment 182,SN-00000182,2020-03-15,2029-03-15,2026-03-15,2026-9-15,retired,EMP-033,Building 3 Room 3
AST-00183,Equipment 183,SN-00000183,2021-04-16,20210-04-16,2026-04-16,2026-10-16,standby,EMP-034,Building 4 Room 4
AST-00184,Equipment 184,SN-00000184,2022-05-17,20211-05-17,2026-05-17,2026-11-17,active,EMP-035,Building 5 Room 5
AST-00185,Equipment 185,SN-00000185,2023-06-18,2027-06-18,2026-06-18,2026-12-18,maintenance,EMP-036,Building 1 Room 6
AST-00186,Equipment 186,SN-00000186,2024-07-19,2028-07-19,2026-07-19,2026-7-19,retired,EMP-037,Building 2 Room 7
AST-00187,Equipment 187,SN-00000187,2025-08-20,2029-08-20,2026-08-20,2026-8-20,standby,EMP-038,Building 3 Room 8
AST-00188,Equipment 188,SN-00000188,2026-09-21,20210-09-21,2026-09-21,2026-9-21,active,EMP-039,Building 4 Room 9
AST-00189,Equipment 189,SN-00000189,2020-01-22,20211-01-22,2026-01-22,2026-10-22,maintenance,EMP-040,Building 5 Room 10
AST-00190,Equipment 190,SN-00000190,2021-02-23,2027-02-23,2026-02-23,2026-11-23,retired,EMP-041,Building 1 Room 11
AST-00191,Equipment 191,SN-00000191,2022-03-24,2028-03-24,2026-03-24,2026-12-24,standby,EMP-042,Building 2 Room 12
AST-00192,Equipment 192,SN-00000192,2023-04-25,2029-04-25,2026-04-25,2026-7-25,active,EMP-043,Building 3 Room 13
AST-00193,Equipment 193,SN-00000193,2024-05-26,20210-05-26,2026-05-26,2026-8-26,maintenance,EMP-044,Building 4 Room 14
AST-00194,Equipment 194,SN-00000194,2025-06-27,20211-06-27,2026-06-27,2026-9-27,retired,EMP-045,Building 5 Room 15
AST-00195,Equipment 195,SN-00000195,2026-07-28,2027-07-28,2026-07-28,2026-10-28,standby,EMP-046,Building 1 Room 16
AST-00196,Equipment 196,SN-00000196,2020-08-01,2028-08-01,2026-08-01,2026-11-01,active,EMP-047,Building 2 Room 17
AST-00197,Equipment 197,SN-00000197,2021-09-02,2029-09-02,2026-09-02,2026-12-02,maintenance,EMP-048,Building 3 Room 18
AST-00198,Equipment 198,SN-00000198,2022-01-03,20210-01-03,2026-01-03,2026-7-03,retired,EMP-049,Building 4 Room 19
AST-00199,Equipment 199,SN-00000199,2023-02-04,20211-02-04,2026-02-04,2026-8-04,standby,EMP-050,Building 5 Room 20
AST-00200,Equipment 200,SN-00000200,2024-03-05,2027-03-05,2026-03-05,2026-9-05,active,EMP-001,Building 1 Room 1
AST-00201,Equipment 201,SN-00000201,2025-04-06,2028-04-06,2026-04-06,2026-10-06,maintenance,EMP-002,Building 2 Room 2
AST-00202,Equipment 202,SN-00000202,2026-05-07,2029-05-07,2026-05-07,2026-11-07,retired,EMP-003,Building 3 Room 3
AST-00203,Equipment 203,SN-00000203,2020-06-08,20210-06-08,2026-06-08,2026-12-08,standby,EMP-004,Building 4 Room 4
AST-00204,Equipment 204,SN-00000204,2021-07-09,20211-07-09,2026-07-09,2026-7-09,active,EMP-005,Building 5 Room 5
AST-00205,Equipment 205,SN-00000205,2022-08-10,2027-08-10,2026-08-10,2026-8-10,maintenance,EMP-006,Building 1 Room 6
AST-00206,Equipment 206,SN-00000206,2023-09-11,2028-09-11,2026-09-11,2026-9-11,retired,EMP-007,Building 2 Room 7
