sku,name,category,qty,unit_cost,total_value,reorder_point,supplier,last_ordered,location
SKU-00028,Item Name 28,equipment,84,38.28,940,13,Supplier 9,2026-02-01,Warehouse-4-Aisle-9
SKU-00029,Item Name 29,safety,87,39.29,970,14,Supplier 10,2026-03-02,Warehouse-5-Aisle-10
SKU-00030,Item Name 30,parts,90,40.30,1000,15,Supplier 1,2026-04-03,Warehouse-1-Aisle-11
SKU-00031,Item Name 31,tools,93,41.31,1030,16,Supplier 2,2026-05-04,Warehouse-2-Aisle-12
SKU-00032,Item Name 32,supplies,96,42.32,1060,17,Supplier 3,2026-06-05,Warehouse-3-Aisle-13
SKU-00033,Item Name 33,equipment,99,43.33,1090,18,Supplier 4,2026-07-06,Warehouse-4-Aisle-14
SKU-00034,Item Name 34,safety,2,44.34,1120,19,Supplier 5,2026-08-07,Warehouse-5-Aisle-15
SKU-00035,Item Name 35,parts,5,45.35,1150,20,Supplier 6,2026-09-08,Warehouse-1-Aisle-16
SKU-00036,Item Name 36,tools,8,46.36,1180,21,Supplier 7,2026-01-09,Warehouse-2-Aisle-17
SKU-00037,Item Name 37,supplies,11,47.37,1210,22,Supplier 8,2026-02-10,Warehouse-3-Aisle-18
SKU-00038,Item Name 38,equipment,14,48.38,1240,23,Supplier 9,2026-03-11,Warehouse-4-Aisle-19
SKU-00039,Item Name 39,safety,17,49.39,1270,24,Supplier 10,2026-04-12,Warehouse-5-Aisle-20
SKU-00040,Item Name 40,parts,20,50.40,1300,5,Supplier 1,2026-05-13,Warehouse-1-Aisle-1
SKU-00041,Item Name 41,tools,23,51.41,1330,6,Supplier 2,2026-06-14,Warehouse-2-Aisle-2
SKU-00042,Item Name 42,supplies,26,52.42,1360,7,Supplier 3,2026-07-15,Warehouse-3-Aisle-3
SKU-00043,Item Name 43,equipment,29,53.43,1390,8,Supplier 4,2026-08-16,Warehouse-4-Aisle-4
SKU-00044,Item Name 44,safety,32,54.44,1420,9,Supplier 5,2026-09-17,Warehouse-5-Aisle-5
SKU-00045,Item Name 45,parts,35,55.45,1450,10,Supplier 6,2026-01-18,Warehouse-1-Aisle-6
SKU-00046,Item Name 46,tools,38,56.46,1480,11,Supplier 7,2026-02-19,Warehouse-2-Aisle-7
SKU-00047,Item Name 47,supplies,41,57.47,1510,12,Supplier 8,2026-03-20,Warehouse-3-Aisle-8
SKU-00048,Item Name 48,equipment,44,58.48,1540,13,Supplier 9,2026-04-21,Warehouse-4-Aisle-9
SKU-00049,Item Name 49,safety,47,59.49,1570,14,Supplier 10,2026-05-22,Warehouse-5-Aisle-10
SKU-00050,Item Name 50,parts,50,60.50,1600,15,Supplier 1,2026-06-23,Warehouse-1-Aisle-11
SKU-00051,Item Name 51,tools,53,61.51,1630,16,Supplier 2,2026-07-24,Warehouse-2-Aisle-12
SKU-00052,Item Name 52,supplies,56,62.52,1660,17,Supplier 3,2026-08-25,Warehouse-3-Aisle-13
SKU-00053,Item Name 53,equipment,59,63.53,1690,18,Supplier 4,2026-09-26,Warehouse-4-Aisle-14
SKU-00054,Item Name 54,safety,62,64.54,1720,19,Supplier 5,2026-01-27,Warehouse-5-Aisle-15
SKU-00055,Item Name 55,parts,65,65.55,1750,20,Supplier 6,2026-02-28,Warehouse-1-Aisle-16
SKU-00056,Item Name 56,tools,68,66.56,1780,21,Supplier 7,2026-03-01,Warehouse-2-Aisle-17
SKU-00057,Item Name 57,supplies,71,67.57,1810,22,Supplier 8,2026-04-02,Warehouse-3-Aisle-18
SKU-00058,Item Name 58,equipment,74,68.58,1840,23,Supplier 9,2026-05-03,Warehouse-4-Aisle-19
SKU-00059,Item Name 59,safety,77,69.59,1870,24,Supplier 10,2026-06-04,Warehouse-5-Aisle-20
SKU-00060,Item Name 60,parts,80,70.60,1900,5,Supplier 1,2026-07-05,Warehouse-1-Aisle-1
SKU-00061,Item Name 61,tools,83,71.61,1930,6,Supplier 2,2026-08-06,Warehouse-2-Aisle-2
SKU-00062,Item Name 62,supplies,86,72.62,1960,7,Supplier 3,2026-09-07,Warehouse-3-Aisle-3
SKU-00063,Item Name 63,equipment,89,73.63,1990,8,Supplier 4,2026-01-08,Warehouse-4-Aisle-4
SKU-00064,Item Name 64,safety,92,74.64,2020,9,Supplier 5,2026-02-09,Warehouse-5-Aisle-5
SKU-00065,Item Name 65,parts,95,75.65,2050,10,Supplier 6,2026-03-10,Warehouse-1-Aisle-6
SKU-00066,Item Name 66,tools,98,76.66,2080,11,Supplier 7,2026-04-11,Warehouse-2-Aisle-7
SKU-00067,Item Name 67,supplies,1,77.67,2110,12,Supplier 8,2026-05-12,Warehouse-3-Aisle-8
SKU-00068,Item Name 68,equipment,4,78.68,2140,13,Supplier 9,2026-06-13,Warehouse-4-Aisle-9
SKU-00069,Item Name 69,safety,7,79.69,2170,14,Supplier 10,2026-07-14,Warehouse-5-Aisle-10
SKU-00070,Item Name 70,parts,10,80.70,2200,15,Supplier 1,2026-08-15,Warehouse-1-Aisle-11
SKU-00071,Item Name 71,tools,13,81.71,2230,16,Supplier 2,2026-09-16,Warehouse-2-Aisle-12
SKU-00072,Item Name 72,supplies,16,82.72,2260,17,Supplier 3,2026-01-17,Warehouse-3-Aisle-13
SKU-00073,Item Name 73,equipment,19,83.73,2290,18,Supplier 4,2026-02-18,Warehouse-4-Aisle-14
SKU-00074,Item Name 74,safety,22,84.74,2320,19,Supplier 5,2026-03-19,Warehouse-5-Aisle-15
SKU-00075,Item Name 75,parts,25,85.75,2350,20,Supplier 6,2026-04-20,Warehouse-1-Aisle-16
SKU-00076,Item Name 76,tools,28,86.76,2380,21,Supplier 7,2026-05-21,Warehouse-2-Aisle-17
SKU-00077,Item Name 77,supplies,31,87.77,2410,22,Supplier 8,2026-06-22,Warehouse-3-Aisle-18
SKU-00078,Item Name 78,equipment,34,88.78,2440,23,Supplier 9,2026-07-23,Warehouse-4-Aisle-19
SKU-00079,Item Name 79,safety,37,89.79,2470,24,Supplier 10,2026-08-24,Warehouse-5-Aisle-20
SKU-00080,Item Name 80,parts,40,90.80,2500,5,Supplier 1,2026-09-25,Warehouse-1-Aisle-1
SKU-00081,Item Name 81,tools,43,91.81,2530,6,Supplier 2,2026-01-26,Warehouse-2-Aisle-2
SKU-00082,Item Name 82,supplies,46,92.82,2560,7,Supplier 3,2026-02-27,Warehouse-3-Aisle-3
SKU-00083,Item Name 83,equipment,49,93.83,2590,8,Supplier 4,2026-03-28,Warehouse-4-Aisle-4
SKU-00084,Item Name 84,safety,52,94.84,2620,9,Supplier 5,2026-04-01,Warehouse-5-Aisle-5
SKU-00085,Item Name 85,parts,55,95.85,2650,10,Supplier 6,2026-05-02,Warehouse-1-Aisle-6
SKU-00086,Item Name 86,tools,58,96.86,2680,11,Supplier 7,2026-06-03,Warehouse-2-Aisle-7
SKU-00087,Item Name 87,supplies,61,97.87,2710,12,Supplier 8,2026-07-04,Warehouse-3-Aisle-8
SKU-00088,Item Name 88,equipment,64,98.88,2740,13,Supplier 9,2026-08-05,Warehouse-4-Aisle-9
SKU-00089,Item Name 89,safety,67,99.89,2770,14,Supplier 10,2026-09-06,Warehouse-5-Aisle-10
SKU-00090,Item Name 90,parts,70,100.90,2800,15,Supplier 1,2026-01-07,Warehouse-1-Aisle-11
SKU-00091,Item Name 91,tools,73,101.91,2830,16,Supplier 2,2026-02-08,Warehouse-2-Aisle-12
SKU-00092,Item Name 92,supplies,76,102.92,2860,17,Supplier 3,2026-03-09,Warehouse-3-Aisle-13
SKU-00093,Item Name 93,equipment,79,103.93,2890,18,Supplier 4,2026-04-10,Warehouse-4-Aisle-14
SKU-00094,Item Name 94,safety,82,104.94,2920,19,Supplier 5,2026-05-11,Warehouse-5-Aisle-15
SKU-00095,Item Name 95,parts,85,105.95,2950,20,Supplier 6,2026-06-12,Warehouse-1-Aisle-16
SKU-00096,Item Name 96,tools,88,106.96,2980,21,Supplier 7,2026-07-13,Warehouse-2-Aisle-17
SKU-00097,Item Name 97,supplies,91,107.97,3010,22,Supplier 8,2026-08-14,Warehouse-3-Aisle-18
SKU-00098,Item Name 98,equipment,94,108.98,3040,23,Supplier 9,2026-09-15,Warehouse-4-Aisle-19
SKU-00099,Item Name 99,safety,97,109.99,3070,24,Supplier 10,2026-01-16,Warehouse-5-Aisle-20
SKU-00100,Item Name 100,parts,0,110.0,3100,5,Supplier 1,2026-02-17,Warehouse-1-Aisle-1
SKU-00101,Item Name 101,tools,3,111.1,3130,6,Supplier 2,2026-03-18,Warehouse-2-Aisle-2
SKU-00102,Item Name 102,supplies,6,112.2,3160,7,Supplier 3,2026-04-19,Warehouse-3-Aisle-3
SKU-00103,Item Name 103,equipment,9,113.3,3190,8,Supplier 4,2026-05-20,Warehouse-4-Aisle-4
SKU-00104,Item Name 104,safety,12,114.4,3220,9,Supplier 5,2026-06-21,Warehouse-5-Aisle-5
SKU-00105,Item Name 105,parts,15,115.5,3250,10,Supplier 6,2026-07-22,Warehouse-1-Aisle-6
SKU-00106,Item Name 106,tools,18,116.6,3280,11,Supplier 7,2026-08-23,Warehouse-2-Aisle-7
SKU-00107,Item Name 107,supplies,21,117.7,3310,12,Supplier 8,2026-09-24,Warehouse-3-Aisle-8
SKU-00108,Item Name 108,equipment,24,118.8,3340,13,Supplier 9,2026-01-25,Warehouse-4-Aisle-9
SKU-00109,Item Name 109,safety,27,119.9,3370,14,Supplier 10,2026-02-26,Warehouse-5-Aisle-10
SKU-00110,Item Name 110,parts,30,120.10,3400,15,Supplier 1,2026-03-27,Warehouse-1-Aisle-11
SKU-00111,Item Name 111,tools,33,121.11,3430,16,Supplier 2,2026-04-28,Warehouse-2-Aisle-12
SKU-00112,Item Name 112,supplies,36,122.12,3460,17,Supplier 3,2026-05-01,Warehouse-3-Aisle-13
SKU-00113,Item Name 113,equipment,39,123.13,3490,18,Supplier 4,2026-06-02,Warehouse-4-Aisle-14
SKU-00114,Item Name 114,safety,42,124.14,3520,19,Supplier 5,2026-07-03,Warehouse-5-Aisle-15
SKU-00115,Item Name 115,parts,45,125.15,3550,20,Supplier 6,2026-08-04,Warehouse-1-Aisle-16
SKU-00116,Item Name 116,tools,48,126.16,3580,21,Supplier 7,2026-09-05,Warehouse-2-Aisle-17
SKU-00117,Item Name 117,supplies,51,127.17,3610,22,Supplier 8,2026-01-06,Warehouse-3-Aisle-18
SKU-00118,Item Name 118,equipment,54,128.18,3640,23,Supplier 9,2026-02-07,Warehouse-4-Aisle-19
SKU-00119,Item Name 119,safety,57,129.19,3670,24,Supplier 10,2026-03-08,Warehouse-5-Aisle-20
SKU-00120,Item Name 120,parts,60,130.20,3700,5,Supplier 1,2026-04-09,Warehouse-1-Aisle-1
SKU-00121,Item Name 121,tools,63,131.21,3730,6,Supplier 2,2026-05-10,Warehouse-2-Aisle-2
SKU-00122,Item Name 122,supplies,66,132.22,3760,7,Supplier 3,2026-06-11,Warehouse-3-Aisle-3
SKU-00123,Item Name 123,equipment,69,133.23,3790,8,Supplier 4,2026-07-12,Warehouse-4-Aisle-4
SKU-00124,Item Name 124,safety,72,134.24,3820,9,Supplier 5,2026-08-13,Warehouse-5-Aisle-5
SKU-00125,Item Name 125,parts,75,135.25,3850,10,Supplier 6,2026-09-14,Warehouse-1-Aisle-6
SKU-00126,Item Name 126,tools,78,136.26,3880,11,Supplier 7,2026-01-15,Warehouse-2-Aisle-7
SKU-00127,Item Name 127,supplies,81,137.27,3910,12,Supplier 8,2026-02-16,Warehouse-3-Aisle-8
